task,pulse_type,training_strength,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,training_objective
Z,polished_open_loop,0.08,0.08,46,0.9999986719777796,1.3280222204148373e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,47,0.9997591275845916,0.00024087241540837745,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,48,0.9999979378794293,2.062120570744952e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,49,0.9999962193866436,3.7806133563744737e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,50,0.9999988046554288,1.1953445712142852e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,51,0.999969051490404,3.0948509595951634e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,52,0.9999605206189212,3.947938107884408e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,53,0.9999951422524705,4.857747529452006e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,54,0.9999786870295838,2.1312970416187405e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,55,0.9999950860329996,4.913967000419461e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,56,0.999991146246129,8.853753871052028e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,57,0.9999940933446505,5.906655349496859e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,58,0.9997612913601348,0.00023870863986519275,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,59,0.9999851678199164,1.4832180083579338e-05,0.19052792956931994,2.504765485985131e-05
H,polished_open_loop,0.08,0.05,10,0.9999807374890537,1.9262510946305156e-05,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,11,0.999996707055953,3.2929440469953164e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,12,0.9999967165243935,3.283475606519204e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,13,0.9999966008001296,3.3991998703575277e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,14,0.9999991985464624,8.014535376466014e-07,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,15,0.9999959361330244,4.063866975601016e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,16,0.9999917159561652,8.284043834794197e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,17,0.9999912665780951,8.73342190488291e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,18,0.999997401251231,2.5987487689560496e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,19,0.999994586751262,5.413248738039833e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,20,0.9999945073878005,5.492612199509139e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,21,0.9999868356229389,1.3164377061114507e-05,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,22,0.9999813001771072,1.869982289282035e-05,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,23,0.9999923675714424,7.63242855761348e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,24,0.9999947390328557,5.260967144260498e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,25,0.9999993837278567,6.162721433167206e-07,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,26,0.999996250550008,3.749449992040965e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,27,0.999999187978791,8.120212090512169e-07,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,28,0.9999905860907456,9.413909254352149e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,29,0.9999857327506373,1.42672493627094e-05,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,30,0.9999900728339327,9.927166067291715e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,31,0.9999911696969361,8.830303063867007e-06,0.43935843152488097,5.1291345236599055e-05
