task,method,net_index,coeff_x,coeff_y,coeff_z,coeff_norm,ball_radius,points_per_axis,grid_spacing,covering_radius,final_fidelity,final_infidelity,pulse_energy,design_seconds,time_horizon
Z,terminal_value_shifted,94,-0.06531972647422,-0.03265986323711,-0.03265986323711,0.08000000000000236,0.08,13,0.013333333333333336,0.011547005383792518,0.9978600004281981,0.002139999571801887,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,95,-0.06531972647422,-0.03265986323711,0.03265986323711,0.08000000000000236,0.08,13,0.013333333333333336,0.011547005383792518,0.9968462041737273,0.0031537958262727317,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,96,-0.06531972647422,0.03265986323711,-0.03265986323711,0.08000000000000236,0.08,13,0.013333333333333336,0.011547005383792518,0.9980551818607948,0.0019448181392052177,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,97,-0.06531972647422,0.03265986323711,0.03265986323711,0.08000000000000236,0.08,13,0.013333333333333336,0.011547005383792518,0.9988895172383053,0.0011104827616946755,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,98,-0.06488856845231,-0.03893314107138,-0.02595542738092,0.08000000000000193,0.08,13,0.013333333333333336,0.011547005383792518,0.9972662460312429,0.00273375396875708,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,99,-0.06488856845231,-0.03893314107138,0.02595542738092,0.08000000000000193,0.08,13,0.013333333333333336,0.011547005383792518,0.9963785132195084,0.0036214867804915674,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,100,-0.06488856845231,-0.02595542738092,-0.03893314107138,0.08000000000000193,0.08,13,0.013333333333333336,0.011547005383792518,0.9983622819673418,0.0016377180326582197,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,101,-0.06488856845231,-0.02595542738092,0.03893314107138,0.08000000000000193,0.08,13,0.013333333333333336,0.011547005383792518,0.9973003735251196,0.0026996264748804233,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,102,-0.06488856845231,0.02595542738092,-0.03893314107138,0.08000000000000193,0.08,13,0.013333333333333336,0.011547005383792518,0.9983671796850185,0.0016328203149814646,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,103,-0.06488856845231,0.02595542738092,0.03893314107138,0.08000000000000193,0.08,13,0.013333333333333336,0.011547005383792518,0.9990551980635121,0.0009448019364879379,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,104,-0.06488856845231,0.03893314107138,-0.02595542738092,0.08000000000000193,0.08,13,0.013333333333333336,0.011547005383792518,0.9977443166552828,0.002255683344717152,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,105,-0.06488856845231,0.03893314107138,0.02595542738092,0.08000000000000193,0.08,13,0.013333333333333336,0.011547005383792518,0.9986075634357943,0.0013924365642057346,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,106,-0.06414269805898,-0.04276179870599,-0.02138089935299,0.07999999999999859,0.08,13,0.013333333333333336,0.011547005383792518,0.9968426312427344,0.0031573687572655773,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,107,-0.06414269805898,-0.04276179870599,0.02138089935299,0.07999999999999859,0.08,13,0.013333333333333336,0.011547005383792518,0.9960737183165126,0.003926281683487409,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,108,-0.06414269805898,-0.02138089935299,-0.04276179870599,0.07999999999999859,0.08,13,0.013333333333333336,0.011547005383792518,0.9986290457354718,0.001370954264528157,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,109,-0.06414269805898,-0.02138089935299,0.04276179870599,0.07999999999999859,0.08,13,0.013333333333333336,0.011547005383792518,0.997582519638409,0.0024174803615909513,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,110,-0.06414269805898,0.02138089935299,-0.04276179870599,0.07999999999999859,0.08,13,0.013333333333333336,0.011547005383792518,0.9985591457939887,0.001440854206011255,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,111,-0.06414269805898,0.02138089935299,0.04276179870599,0.07999999999999859,0.08,13,0.013333333333333336,0.011547005383792518,0.9990949578211216,0.0009050421788784346,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,112,-0.06414269805898,0.04276179870599,-0.02138089935299,0.07999999999999859,0.08,13,0.013333333333333336,0.011547005383792518,0.9975536737513371,0.0024463262486629223,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,113,-0.06414269805898,0.04276179870599,0.02138089935299,0.07999999999999859,0.08,13,0.013333333333333336,0.011547005383792518,0.9983686399394174,0.0016313600605826206,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,114,-0.06246950475544,-0.04997560380435,0.0,0.07999999999999564,0.08,13,0.013333333333333336,0.011547005383792518,0.995693466873335,0.004306533126664958,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,115,-0.06246950475544,0.0,-0.04997560380435,0.07999999999999564,0.08,13,0.013333333333333336,0.011547005383792518,0.9990893062889448,0.0009106937110552327,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,116,-0.06246950475544,0.0,0.04997560380435,0.07999999999999564,0.08,13,0.013333333333333336,0.011547005383792518,0.9986672813512599,0.0013327186487400722,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,117,-0.06246950475544,0.04997560380435,0.0,0.07999999999999564,0.08,13,0.013333333333333336,0.011547005383792518,0.9974911133039552,0.0025088866960447653,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,118,-0.06172133998484,-0.04937707198787,-0.01234426799697,0.08000000000000328,0.08,13,0.013333333333333336,0.011547005383792518,0.9959940895388661,0.004005910461133855,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,119,-0.06172133998484,-0.04937707198787,0.01234426799697,0.08000000000000328,0.08,13,0.013333333333333336,0.011547005383792518,0.9955161896925567,0.00448381030744327,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,120,-0.06172133998484,-0.01234426799697,-0.04937707198787,0.08000000000000326,0.08,13,0.013333333333333336,0.011547005383792518,0.9989805893884331,0.001019410611566851,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,121,-0.06172133998484,-0.01234426799697,0.04937707198787,0.08000000000000326,0.08,13,0.013333333333333336,0.011547005383792518,0.9980729387338125,0.0019270612661874686,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,122,-0.06172133998484,0.01234426799697,-0.04937707198787,0.08000000000000326,0.08,13,0.013333333333333336,0.011547005383792518,0.998868879207246,0.0011311207927540146,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,123,-0.06172133998484,0.01234426799697,0.04937707198787,0.08000000000000326,0.08,13,0.013333333333333336,0.011547005383792518,0.9990144480582029,0.0009855519417970582,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,124,-0.06172133998484,0.04937707198787,-0.01234426799697,0.08000000000000328,0.08,13,0.013333333333333336,0.011547005383792518,0.9972428179604268,0.0027571820395732027,4.705,272.2985820590984,8.0
Z,terminal_value_shifted,125,-0.06172133998484,0.04937707198787,0.01234426799697,0.08000000000000328,0.08,13,0.013333333333333336,0.011547005383792518,0.9978198133162433,0.0021801866837567463,4.705,272.2985820590984,8.0
