step,selected_shifted,selected_cost,selected_phi,selected_energy_mean,shifted_available,previous_terminal_phi,best_shifted_margin,best_shifted_phi,best_shifted_cost,task,beam_width,residual_threshold,current_outside_residual,terminal_outside_residual
63,0,0.0034267862317033243,0.0034267862317033243,3.1249999999999996,1,0.003223283299180549,-0.00020350293252277551,0.0034267862317033243,0.0034267862317033243,H,8,0.001,1,1
64,0,0.003561732138253268,0.003561732138253268,4.583333333333333,1,0.0034267862317033243,-0.0002735875162515472,0.0037003737479548715,0.0037003737479548715,H,8,0.001,1,1
65,0,0.0037515672803088013,0.0037515672803088013,3.4166666666666665,1,0.003561732138253268,-0.00028166520070664613,0.003843397338959914,0.003843397338959914,H,8,0.001,1,1
66,0,0.0039039893435419484,0.0039039893435419484,2.9166666666666665,1,0.0037515672803088013,-0.00034991139522263376,0.004101478675531435,0.004101478675531435,H,8,0.001,1,1
67,0,0.004256569003680467,0.004256569003680467,2.75,1,0.0039039893435419484,-0.0004143400761250568,0.004318329419667005,0.004318329419667005,H,8,0.001,1,1
68,0,0.004775130217620764,0.004775130217620764,2.7083333333333335,1,0.004256569003680467,-0.0005185612139402968,0.004775130217620764,0.004775130217620764,H,8,0.001,1,1
69,0,0.005323603634182057,0.005323603634182057,2.875,1,0.004775130217620764,-0.0006155666452205485,0.005390696862841313,0.005390696862841313,H,8,0.001,1,1
70,0,0.005504730150488142,0.005504730150488142,1.7916666666666663,1,0.005323603634182057,-0.0006231802569601763,0.0059467838911422335,0.0059467838911422335,H,8,0.001,1,1
71,0,0.005048834765932798,0.005048834765932798,3.1249999999999996,1,0.005504730150488142,-0.0005783042429007776,0.00608303439338892,0.00608303439338892,H,8,0.001,1,1
72,0,0.0052753345528010614,0.0052753345528010614,2.9583333333333326,1,0.005048834765932798,-0.0002941600824568069,0.005342994848389605,0.005342994848389605,H,8,0.001,1,1
73,0,0.004621946620878899,0.004621946620878899,3.5833333333333326,1,0.0052753345528010614,-0.00028352674649444187,0.005558861299295503,0.005558861299295503,H,8,0.001,1,1
74,0,0.004738118172767647,0.004738118172767647,3.0833333333333326,1,0.004621946620878899,-0.00024256154868498858,0.004864508169563887,0.004864508169563887,H,8,0.001,1,1
75,0,0.003920708478382599,0.003920708478382599,3.6666666666666665,1,0.004738118172767647,-0.00020802970515480107,0.004946147877922448,0.004946147877922448,H,8,0.001,1,1
76,0,0.0036856991728522956,0.0036856991728522956,3.0,1,0.003920708478382599,0.00015578358362951933,0.00376492489475308,0.00376492489475308,H,8,0.001,1,1
77,0,0.0035120737037256863,0.0035120737037256863,2.25,1,0.0036856991728522956,0.0001145830631017336,0.003571116109750562,0.003571116109750562,H,8,0.001,1,1
78,0,0.003243894272273347,0.003243894272273347,3.0833333333333335,1,0.0035120737037256863,8.226640323246576e-05,0.0034298073004932206,0.0034298073004932206,H,8,0.001,1,1
79,0,0.0029938612704395323,0.0029938612704395323,3.5833333333333335,1,0.003243894272273347,0.00010589952513663514,0.0031379947471367117,0.0031379947471367117,H,8,0.001,1,1
80,0,0.002680087153700189,0.002680087153700189,1.1249999999999998,1,0.0029938612704395323,0.00011751960242793735,0.002876341668011595,0.002876341668011595,H,8,0.001,1,1
81,0,0.002536824947226679,0.002536824947226679,1.5833333333333333,1,0.002680087153700189,3.190340179235612e-05,0.002648183751907833,0.002648183751907833,H,8,0.001,1,1
82,0,0.0022410087879057225,0.0022410087879057225,1.6666666666666663,1,0.002536824947226679,-1.7442531461464572e-05,0.0025542674786881436,0.0025542674786881436,H,8,0.001,1,1
83,0,0.002051168001456105,0.002051168001456105,2.916666666666666,1,0.0022410087879057225,-9.19737578854371e-05,0.0023329825457911596,0.0023329825457911596,H,8,0.001,1,1
84,0,0.0021830341537435877,0.0021830341537435877,2.7083333333333326,1,0.002051168001456105,-0.00019133010564929137,0.0022424981071053965,0.0022424981071053965,H,8,0.001,1,1
85,0,0.002325124596837265,0.002325124596837265,0.29166666666666663,1,0.0021830341537435877,-0.00026078696533834295,0.0024438211190819306,0.0024438211190819306,H,8,0.001,1,1
86,0,0.002649236808453387,0.002649236808453387,0.24999999999999997,1,0.002325124596837265,-0.00032411221161612186,0.002649236808453387,0.002649236808453387,H,8,0.001,1,1
87,0,0.0030091121457701334,0.0030091121457701334,0.12499999999999999,1,0.002649236808453387,-0.000422168808964965,0.003071405617418352,0.003071405617418352,H,8,0.001,1,1
88,0,0.003374543081125024,0.003374543081125024,2.375,1,0.0030091121457701334,-0.0005058238370435411,0.0035149359828136745,0.0035149359828136745,H,8,0.001,1,1
89,0,0.0035328819717818927,0.0035328819717818927,4.333333333333333,1,0.003374543081125024,-0.00048299269082836827,0.0038575357719533923,0.0038575357719533923,H,8,0.001,1,1
90,0,0.0038741808564196345,0.0038741808564196345,0.9166666666666665,1,0.0035328819717818927,-0.00041783191408738263,0.003950713885869275,0.003950713885869275,H,8,0.001,1,1
91,0,0.0037639828117880594,0.0037639828117880594,1.7499999999999998,1,0.0038741808564196345,-0.0005120314837203724,0.004386212340140007,0.004386212340140007,H,8,0.001,1,1
92,1,0.004124961970196933,0.004124961970196933,1.6249999999999998,1,0.0037639828117880594,-0.0003609791584088737,0.004124961970196933,0.004124961970196933,H,8,0.001,1,1
93,0,0.003057177512151038,0.003057177512151038,5.749999999999999,1,0.004124961970196933,-0.00036412107176099495,0.004489083041957928,0.004489083041957928,H,8,0.001,1,1
94,0,0.0026827421775178217,0.0026827421775178217,5.583333333333333,1,0.003057177512151038,7.05699219789302e-05,0.002986607590172108,0.002986607590172108,H,8,0.001,1,1
95,0,0.002437296939859314,0.002437296939859314,1.9166666666666667,1,0.0026827421775178217,5.207900209380778e-05,0.002630663175424014,0.002630663175424014,H,8,0.001,1,1
96,0,0.0019041789710783213,0.0019041789710783213,2.9166666666666665,1,0.002437296939859314,-3.422043016908238e-05,0.0024715173700283963,0.0024715173700283963,H,8,0.001,1,1
97,0,0.0018573347677362587,0.0018573347677362587,3.0,1,0.0019041789710783213,1.0675915852000062e-05,0.0018935030552263213,0.0018935030552263213,H,8,0.001,1,1
98,0,0.0018487934916134943,0.0018487934916134943,2.8333333333333335,1,0.0018573347677362587,8.54127612276434e-06,0.0018487934916134943,0.0018487934916134943,H,8,0.001,1,1
99,0,0.001561404619308003,0.001561404619308003,0.75,1,0.0018487934916134943,-7.342462184296156e-05,0.0019222181134564559,0.0019222181134564559,H,8,0.001,1,1
