system,controller,eval_strength,noise_case,gamma_phi,gamma_relax,seed,final_fidelity,final_leakage,max_leakage,tail_infidelity_mean,final_purity,pulse_energy,segments,training_seconds,training_objective,optimizer_iterations,optimizer_success,refinement_label,terminal_target_weight,leakage_weight,worst_weight,trust_radius,horizon_maxiter
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,22,0.8495777704054546,0.002204338316680321,0.030201623760790164,0.10460488912665189,0.9999996357796108,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,23,0.9630054421505337,0.002296458648263,0.029265387403214493,0.02376324386729284,0.9999997020831385,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,24,0.9922699437553726,0.0022177293201497417,0.02448898049073922,0.017141203876749788,0.999999720206188,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,25,0.9937483976979273,0.004916182464935748,0.03172010663032587,0.009665870275229067,0.9999996848084164,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,26,0.9686424378858765,0.0013560573226323314,0.03413003203936005,0.036114368085979294,0.9999996956866908,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,27,0.9547751618683529,0.001215579914741638,0.0259760326718792,0.06167018533145524,0.9999997708168747,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,28,0.8272897761893993,0.005792443953625215,0.042235445608520994,0.12447819560272595,0.9999996436329732,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,29,0.9003169683429574,0.002209412879773942,0.02978310352801039,0.08425864042804766,0.9999997205722869,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,30,0.9480138039657825,0.004576532494952157,0.02551154410336398,0.0702880231612141,0.9999997513578811,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,31,0.8591355473362601,0.0028461236605100693,0.039603510735086944,0.08971229097550974,0.9999995900070565,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,32,0.9114078794301461,0.0035599668264200135,0.03358948621875801,0.054776530616936825,0.9999995916971973,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,33,0.9406303840664237,0.0008568052500308454,0.024446035490866547,0.08554383955913605,0.999999760209722,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
five_level_weak_anharmonic,pareto_alpha0p8_lw1p0_trust004,0.03,static_only,0.0,0.0,34,0.9949702479973794,0.00132521849206646,0.03511414431661908,0.01593438307233426,0.9999996845732344,0.0018253859408901266,120,79.633415536955,0.37310525000392886,637,False,"alpha 0.8, leak 1.0, trust 0.04",0.8,1.0,0.25,0.04,6
