task,baseline,eval_strength,seed,state_transfer_fidelity,average_gate_fidelity,average_gate_infidelity,pulse_energy,basis_count,segments,refreshes,n_training_seeds,frequency_seed_path,training_objective,optimizer_success_all,optimization_seconds
H,process_dcrab,0.08,24,0.9988332912857383,0.9992040615357722,0.0007959384642277634,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,25,0.9992664562038814,0.9994398303918072,0.0005601696081928287,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,26,0.9980112228782476,0.9986088556853362,0.0013911443146638058,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,27,0.995750266876439,0.995945777826893,0.004054222173107025,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,28,0.992235997038381,0.9902286090799205,0.009771390920079503,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,29,0.9928275541616818,0.9901116504734381,0.009888349526561924,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,30,0.9984838206146914,0.9989112113714942,0.0010887886285058102,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,31,0.9987524496896667,0.9988020176833645,0.001197982316635482,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,32,0.9972836221050373,0.9978540796146862,0.0021459203853138042,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,33,0.998997840967194,0.9976633911954492,0.002336608804550777,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,34,0.9999561701939588,0.9993814970508711,0.0006185029491289074,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,35,0.9978729510532324,0.9975776844126053,0.0024223155873946967,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,36,0.9924712289946649,0.9915159027557398,0.008484097244260247,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,37,0.9991068431004362,0.9993924731759809,0.0006075268240191001,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,38,0.9955908232681108,0.9952234293236888,0.004776570676311209,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,39,0.9993059224902227,0.9994910029112568,0.0005089970887431905,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,40,0.9958599527977322,0.9953971726213799,0.004602827378620056,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,41,0.992724695634865,0.9910026336980952,0.008997366301904841,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,42,0.9996679708057562,0.9987406302113223,0.001259369788677689,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,43,0.999931762133626,0.9990692266978486,0.0009307733021514109,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,44,0.9955300171666454,0.9950846198986083,0.0049153801013916976,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,45,0.9973144824699491,0.9979627511002255,0.002037248899774524,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,46,0.9989260260651323,0.9963140764244427,0.003685923575557304,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,47,0.9982418357949508,0.9954724459654564,0.004527554034543635,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,48,0.9996212884667199,0.9983892630366116,0.001610736963388426,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,49,0.9988776746792072,0.999245989362698,0.0007540106373019606,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,50,0.9984960527908948,0.9971008388160199,0.002899161183980148,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,51,0.9964029940654666,0.9970308731770778,0.0029691268229221635,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,52,0.992955910089647,0.9907830773090142,0.00921692269098584,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,53,0.9999102652451635,0.9991240378756262,0.000875962124373797,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,54,0.9981506526206779,0.9985817886070074,0.0014182113929925855,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,55,0.9991912616560208,0.999165426226971,0.0008345737730289793,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,56,0.9992262155925098,0.9994258644621682,0.0005741355378318103,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,57,0.9985721043308023,0.998543737112788,0.001456262887212012,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,58,0.998578220137962,0.996030404112644,0.003969595887356014,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
H,process_dcrab,0.08,59,0.9992477232208972,0.9991079996602986,0.000892000339701382,3.25376959603785,3,40,3,8,"31,43,59",0.0025575592297519354,False,87.30947889667004
