task,method,net_index,coeff_x,coeff_y,coeff_z,coeff_norm,ball_radius,points_per_axis,grid_spacing,covering_radius,final_fidelity,final_infidelity,grad_x,grad_y,grad_z,gradient_norm,pulse_energy,design_seconds,time_horizon,score_mode,worst_weight,train_net_points,base_train_points,hard_points_requested,hard_points_used
Z,selected_hard_augmented_mean_worst,50,-0.06666666666667,-0.02666666666667,0.0,0.07180219742846439,0.08,13,0.013333333333333336,0.011547005383792518,0.9988117449374911,0.0011882550625088584,-0.004044626904229978,-0.021258290754502474,-0.008677935914987667,0.02331481298106462,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,51,-0.06666666666667,-0.02666666666667,0.01333333333333,0.0730296743340258,0.08,13,0.013333333333333336,0.011547005383792518,0.9988745979935331,0.0011254020064669357,-0.0025113599462626007,-0.0210702684419366,-0.0007609372481261478,0.021233044211571437,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,52,-0.06666666666667,-0.02666666666667,0.02666666666667,0.07659416862051227,0.08,13,0.013333333333333336,0.011547005383792518,0.9988325405231104,0.0011674594768895652,-0.001170593822975699,-0.02089486300794069,0.007042777967129432,0.022080903774829526,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,53,-0.06666666666667,-0.01333333333333,-0.04,0.07888106377466379,0.08,13,0.013333333333333336,0.011547005383792518,0.9982213619469802,0.0017786380530198098,-0.009129141024621812,-0.012767304565607873,-0.032215247552612736,0.03583528228707771,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,54,-0.06666666666667,-0.01333333333333,-0.02666666666667,0.0730296743340258,0.08,13,0.013333333333333336,0.011547005383792518,0.9985990896342276,0.0014009103657723898,-0.007135557383918009,-0.012796400117724038,-0.024414871915519165,0.028473672151713786,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,55,-0.06666666666667,-0.01333333333333,-0.01333333333333,0.06928203230275702,0.08,13,0.013333333333333336,0.011547005383792518,0.9988718476644203,0.001128152335579724,-0.005361778361487504,-0.012731720506096222,-0.01648469782375872,0.02150792032214417,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,56,-0.06666666666667,-0.01333333333333,0.0,0.06798692684790641,0.08,13,0.013333333333333336,0.011547005383792518,0.9990385094862495,0.0009614905137504959,-0.0037885549655188866,-0.012617051598010576,-0.008515868160458684,0.015686400169571506,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,57,-0.06666666666667,-0.01333333333333,0.01333333333333,0.06928203230275702,0.08,13,0.013333333333333336,0.011547005383792518,0.9990991794472294,0.0009008205527706314,-0.0023973492741115876,-0.012492426385859068,-0.0006014624483545727,0.012734589024580726,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,58,-0.06666666666667,-0.01333333333333,0.02666666666667,0.0730296743340258,0.08,13,0.013333333333333336,0.011547005383792518,0.9990552020775709,0.0009447979224290748,-0.0011705957277662604,-0.01239403919295945,0.007165985884166726,0.01436432579575374,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,59,-0.06666666666667,-0.01333333333333,0.04,0.07888106377466379,0.08,13,0.013333333333333336,0.011547005383792518,0.9989091382604873,0.0010908617395126718,-9.193860817240107e-05,-0.012354192251562979,0.014696968472428795,0.019199880238580068,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
