task,controller,disorder_strength,seed,final_fidelity,tail_infidelity_mean,tail_stability_range,pulse_energy,segments,horizon_steps,objective_mean,horizon_iterations,successful_steps,design_seconds
Z,adjoint_state_horizon,0.05,31,0.9980975088879385,0.002688139852905519,0.006888395264064595,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,32,0.9997047440085814,0.00046383610070448275,0.001060009087905156,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,33,0.9988730858532422,0.0010915995064082302,0.005448113881752259,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,34,0.9984632590408555,0.0019167508828146986,0.005700357119045041,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,35,0.9980701862169199,0.0023637012577717356,0.006363626764703589,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,36,0.9996659452266394,0.000812801756900367,0.0013703681043379934,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,37,0.99881041512042,0.0020747504608340348,0.004052081884495462,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,38,0.9999334687190717,0.0005436254150668404,0.0025661361664207627,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,39,0.9987301629455247,0.00216065272548596,0.0050674553388171395,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,40,0.9999827564951489,0.0012591191721999474,0.002187775532630276,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,41,0.9988148245482863,0.0009055700458250241,0.0022808862235257354,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,42,0.9988113674989226,0.00088801571187235,0.005488775392954004,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,43,0.9984584998652499,0.0006698560496030553,0.0019476610909031633,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,44,0.9999256835193179,0.0005801902010396611,0.0026918570767536787,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,45,0.9995830953117297,0.0006217104192836139,0.0031630547011077814,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,46,0.9980705118756334,0.0008353049276168534,0.002194303224591576,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,47,0.9988299168779176,0.002069470670103435,0.0036867565321239137,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,48,0.9982268971032873,0.0013650655909432758,0.0035344153489048624,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,49,0.9991701904846809,0.0010269921767621136,0.0026702939123256497,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,50,0.9989453767585257,0.0012614424986824645,0.0052793431944599956,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,51,0.9997049656588493,0.0006410962927867214,0.002703997688005222,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,52,0.9987501261391583,0.0008775091292636539,0.002106599512520013,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,53,0.998638598257813,0.0012795316619808638,0.005622467690897137,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,54,0.9983604125831274,0.0020644765907292207,0.005413865763690406,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,55,0.9992491833159215,0.0008719521885882909,0.004105862791188963,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,56,0.9981597849737149,0.0027641330022220964,0.0068472314471953455,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,57,0.9987610555159934,0.0028759438450189486,0.006228785868439668,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,58,0.9987750543868724,0.0021563612869866054,0.0037831612501081358,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,59,0.9981330281074542,0.002725928335350808,0.006833006690033172,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,10,0.9998146379288937,0.0030291414221562418,0.004835140753893574,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,11,0.9969274906878072,0.006010085711100861,0.011230201758949732,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,12,0.9968701695959798,0.005491684354202766,0.010386780308969334,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,13,0.9972363911120197,0.0012105328574014097,0.007781734974918408,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,14,0.9970079215024443,0.00574095785664408,0.008789394837895759,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,15,0.9987795811114726,0.0012656859088128619,0.003795936135202127,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,16,0.9956420591639286,0.006362151181975277,0.0135004801983033,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,17,0.9982001232435014,0.0013706365044955028,0.00379302585682606,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,18,0.997353756754218,0.001487792914839205,0.007543587581025468,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,19,0.9957864111247499,0.004441774400491845,0.009348113497498423,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,20,0.9961721076095681,0.006562888673692053,0.01298130629992622,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,21,0.9959481436879626,0.002003088670345018,0.004310538532053543,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,22,0.9996816515838244,0.003626581807128578,0.0054881384134216615,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,23,0.9994550758548731,0.000682436230545416,0.001470858123174268,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,24,0.9971966625678377,0.002598626546335316,0.005719145944681814,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,25,0.9964608582670267,0.004555970686387903,0.008351782574608224,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,26,0.9983034368579058,0.001107555379925821,0.005562044544367151,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,27,0.9995126286703951,0.003450255021699984,0.006717489859262016,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,28,0.9981629423291686,0.001444805731372392,0.0016296395383607054,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,29,0.9983235484561113,0.0016762104687382347,0.0024382611776277985,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,30,0.9978743682204868,0.0014134121534574717,0.0039855840669124065,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,31,0.9956239650688417,0.006119463278357013,0.01324491411749451,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,32,0.9993623820827798,0.000849744880470208,0.0015794591296799387,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.08,33,0.9968462490217946,0.0024169298754780698,0.008271887096595543,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
