task,baseline,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,basis_count,segments,refreshes,frequency_seed_path,training_objective,optimizer_success_all,optimization_seconds
Z,dcrab_train8,0.05,28,0.9998143410050873,0.00018565899491274074,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,29,0.9998572515318562,0.00014274846814377185,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,30,0.9999672544791214,3.2745520878618706e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,31,0.9999447593583786,5.5240641621434605e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,32,0.9999928723676228,7.12763237720182e-06,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,33,0.9997774347943549,0.00022256520564511995,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,34,0.9998894059217021,0.0001105940782979431,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,35,0.9998778160394831,0.00012218396051688618,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,36,0.9999127540682275,8.724593177245055e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,37,0.9999794843703591,2.0515629640893707e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,38,0.9999900891486868,9.910851313188473e-06,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,39,0.9999844028481117,1.5597151888258054e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,40,0.9999989815934727,1.018406527331095e-06,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,41,0.9997663149677516,0.00023368503224840964,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,42,0.9997884853986188,0.00021151460138124634,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,43,0.9999521268654226,4.787313457743636e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,44,0.9999852407485184,1.4759251481644142e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,45,0.9999924094064598,7.590593540163226e-06,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,46,0.9998895167690443,0.00011048323095574908,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,47,0.9999773860816306,2.261391836944071e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,48,0.9999250581001956,7.49418998043927e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,49,0.9999814091901107,1.859080988930728e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,50,0.9997862936569867,0.00021370634301332014,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,51,0.9999998192422046,1.8075779539827863e-07,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
