task,method,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,design_seconds,resource_profile,training_strengths
Z,beam_horizon,0.08,57,0.9989856724166021,0.0010143275833979226,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,58,0.999031070848346,0.0009689291516540299,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,59,0.9983271867956677,0.001672813204332324,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,10,0.9972604261446474,0.002739573855352617,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,11,0.9975297814038324,0.0024702185961675838,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,12,0.9969517333849268,0.0030482666150731808,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,13,0.9931774613230776,0.006822538676922396,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,14,0.9962651648372193,0.0037348351627807252,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,15,0.9962230350426926,0.003776964957307394,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,16,0.9981160452332394,0.0018839547667606205,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,17,0.9979833137513173,0.0020166862486826753,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,18,0.9931747202033555,0.00682527979664449,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,19,0.9957190921296596,0.004280907870340411,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,20,0.9978168720551197,0.002183127944880292,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,21,0.995727290292332,0.004272709707668021,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,22,0.9967389434733248,0.003261056526675188,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,23,0.9982678306795382,0.0017321693204618294,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,24,0.99791247427681,0.0020875257231900424,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,25,0.9980634045502355,0.0019365954497645443,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,26,0.9934837150005561,0.0065162849994439,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,27,0.9989781084318825,0.0010218915681174945,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,28,0.9987862290088163,0.0012137709911836936,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,29,0.9989134213204082,0.001086578679591832,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,30,0.9975334012754811,0.0024665987245189314,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,31,0.998288190235603,0.0017118097643969987,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.1,32,0.9972158735730543,0.002784126426945699,4.9225,100.21364466287196,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
