task,controller,step,value_depth,terminal_weight,control_stage_weight,audit_stride,candidate_count,beam_width,residual_threshold,terminal_outside_residual,tail_phi,phi,current_value,best_fixed_successor_value,best_fixed_depth_margin,best_fallback_norm,best_fallback_amp,best_fallback_index,scheduled_stage_margin
Z,terminal_value_shifted,20,1,0.0,0.0001,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.003887326328544335,0.004096611515210847,-0.00020928518666651214,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,1,0.0,0.0005,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.003887326328544335,0.004096611515210847,-0.00020928518666651214,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,1,0.0,0.001,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.003887326328544335,0.004096611515210847,-0.00020928518666651214,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,1,0.0,0.002,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.003887326328544335,0.004096611515210847,-0.00020928518666651214,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,1,1.0,0.0,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.008983937843755181,0.009451221050011352,-0.00046728320625617076,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,1,1.0,0.0001,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.009050167507322664,0.009451221050011352,-0.00040105354268868756,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,1,1.0,0.0005,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.00910457510353968,0.009451221050011352,-0.00034664594647167146,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,1,1.0,0.001,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.00910457510353968,0.009451221050011352,-0.00034664594647167146,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,20,1,1.0,0.002,10,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.00910457510353968,0.009451221050011352,-0.00034664594647167146,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,30,1,0.0,0.0,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.005004117145252466,0.0057170501939364455,-0.0007129330486839794,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,1,0.0,0.0001,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.005004117145252466,0.0057170501939364455,-0.0007129330486839794,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,1,0.0,0.0005,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.005004117145252466,0.0057170501939364455,-0.0007129330486839794,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,1,0.0,0.001,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.005004117145252466,0.0057170501939364455,-0.0007129330486839794,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,1,0.0,0.002,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.005004117145252466,0.0057170501939364455,-0.0007129330486839794,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,1,1.0,0.0,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.01172116733918891,0.013253755967277965,-0.0015325886280890544,0.0,0.0,0,0.005004117145252542
Z,terminal_value_shifted,30,1,1.0,0.0001,10,41,6,0.001,1,0.006004117145252542,0.006004117145252542,0.01172116733918891,0.013253755967277965,-0.0015325886280890544,0.0,0.0,0,0.005004117145252542
