task,pulse_type,training_strength,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,training_objective
Z,nominal_open_loop,0.0,0.05,15,0.9932311665477827,0.006768833452217349,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,16,0.9528769564603068,0.04712304353969321,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,17,0.9839583681359019,0.016041631864098127,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,18,0.9793819503558984,0.020618049644101633,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,19,0.9875875686313706,0.01241243136862935,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,20,0.9557178710145637,0.044282128985436264,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,21,0.952674189699855,0.047325810300145044,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,22,0.9721470190692827,0.027852980930717308,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,23,0.9974051913043236,0.0025948086956764094,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,24,0.9648571404000316,0.035142859599968435,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,25,0.9411990167611063,0.05880098323889371,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,26,0.9903443766887404,0.009655623311259576,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,27,0.9739354995578946,0.0260645004421054,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,28,0.9958922104642864,0.004107789535713557,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,29,0.987135366146793,0.01286463385320702,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,30,0.9794245529590477,0.020575447040952266,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,31,0.9506664856075427,0.049333514392457256,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,32,0.998357483866542,0.0016425161334580052,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,33,0.9659246101498045,0.03407538985019554,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,34,0.9389831062036398,0.061016893796360216,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,35,0.965394013778621,0.034605986221379004,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,36,0.9945373467823582,0.005462653217641833,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,37,0.9469519013777125,0.05304809862228754,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,38,0.994701687474477,0.005298312525523041,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,39,0.9761987914796735,0.023801208520326522,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,40,0.9839850087667726,0.01601499123322736,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,41,0.9981479606788828,0.001852039321117216,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,42,0.9732679916797453,0.026732008320254685,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,43,0.9672884909434223,0.032711509056577714,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,44,0.9934346276853379,0.0065653723146621434,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,45,0.9957085864463582,0.004291413553641821,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,46,0.9973708173650179,0.00262918263498213,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,47,0.9251083556249061,0.07489164437509388,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,48,0.9977111429362123,0.002288857063787675,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,49,0.9966704484468101,0.0033295515531899245,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,50,0.9608084895582256,0.03919151044177438,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,51,0.9974172749551062,0.0025827250448937633,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,52,0.99813041670689,0.0018695832931100442,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,53,0.9570319814050077,0.04296801859499233,0.048490952320064486,4.912469388151551e-06
Z,nominal_open_loop,0.0,0.05,54,0.9511505283104416,0.048849471689558444,0.048490952320064486,4.912469388151551e-06
