task,baseline,eval_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,max_abs_control,segments,training_strengths,training_seed_count,krotov_iterations,lambda_a,terminal_info,optimization_seconds
H,ensemble_krotov,0.08,20,0.9901914823835781,0.4528411574926752,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,21,0.9953115532125346,0.39306364673129907,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,22,0.9784994749434204,0.37797453178761753,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,23,0.9876504817976994,0.3339436493998462,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,24,0.9935783321632672,0.3760575455327828,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,25,0.9929953747499709,0.4170043683131645,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,26,0.9813086260012789,0.35431599975679395,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,27,0.9936633804031412,0.4109206829762011,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,28,0.9834454210134742,0.3346027576385466,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,29,0.9831470148905023,0.34716347813917525,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,30,0.9923513686540735,0.3523498555714754,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,31,0.9851170044849381,0.45690897809353054,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,32,0.9906234893602265,0.33727134495324845,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,33,0.9884739402891631,0.41538193466676493,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,34,0.9876020580846331,0.4734274009655088,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
H,ensemble_krotov,0.08,35,0.9859000205787434,0.42470153013350703,0.01926233277726671,0.2988313930475956,40,0.08,8,60,5.0,nan,52.47420743177645
