task,controller,slew_weight,eval_strength,seed,final_fidelity,tail_infidelity_mean,tail_stability_range,segments,horizon_steps,beam_width,design_seconds,pulse_energy,rms_slew,max_step,total_variation,high_frequency_fraction
Z,slew_constrained_beam_horizon,0.005,0.08,15,0.9936723554217004,0.004719401078701262,0.0027939393423421777,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,16,0.9940868752328098,0.005710420518770721,0.005115026266669931,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,17,0.9937974636170507,0.003814000981528859,0.0035921569216410543,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,18,0.9933964028621597,0.004665408972861555,0.004017116707894508,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,19,0.9964265572569158,0.0060153248700443715,0.004663824019073948,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,20,0.9955705015912977,0.006397366833072511,0.0075608596952148055,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,21,0.9938594491098883,0.0038209971268696654,0.00314849709179732,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,22,0.9973560943259474,0.00675279680300501,0.009586367894859338,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,23,0.9949385537826394,0.0038912511492663103,0.002178377070782944,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,24,0.9931294016226031,0.004084291742045805,0.004310145034482904,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,25,0.9930117650682265,0.0048793609114388126,0.004388626846647092,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,26,0.9937413838331786,0.0051427600690646495,0.002794711300012187,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,27,0.9970619230208381,0.005048114884499,0.006173889093289198,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,28,0.9958165589062219,0.003890781914353897,0.00132818645746835,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,29,0.9964921205340069,0.004029863761289622,0.0022862153910012672,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,30,0.9935392368012677,0.003856073769952587,0.003698497537260037,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,31,0.9933500731154314,0.0053433027697176085,0.004339283332491339,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,32,0.9953635309667848,0.004601785217688956,0.0011366288927464607,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,33,0.9950444746286535,0.0036358776233340264,0.0035957858189432645,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,34,0.9930324596480005,0.0038785803571429723,0.004543318484421022,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,35,0.9939037307025829,0.005142413745584833,0.0031634832977397442,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,36,0.9957689811548254,0.004777071888746116,0.0019950303433087235,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,37,0.993974686069526,0.005663876269208808,0.0052699864162663035,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,38,0.9958466574549756,0.0036469218481665323,0.0025339440259042334,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,39,0.9969724160674907,0.0067119497518046516,0.007976545739926344,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,40,0.9968944600519336,0.006715719721506872,0.00774987337553279,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,41,0.9952925246266938,0.0037416457460336307,0.00217399053341627,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,42,0.994544039413708,0.004095896968323576,0.004026710352566187,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,43,0.9939444804490147,0.003950220578492019,0.0031534246530686705,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,44,0.9959454916534137,0.0036324396224296338,0.002513433477309923,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,45,0.9942354483781743,0.005506298469278705,0.0017798405798793437,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,46,0.996290980993252,0.00446999052638866,0.0021118969960435274,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,47,0.9960366952823363,0.005042604175392049,0.008241834222504019,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
