task,method,net_index,coeff_x,coeff_y,coeff_z,coeff_norm,ball_radius,points_per_axis,grid_spacing,covering_radius,final_fidelity,final_infidelity,grad_x,grad_y,grad_z,gradient_norm,hess_xx,hess_xy,hess_xz,hess_yy,hess_yz,hess_zz,hessian_spectral_norm,hessian_frobenius_norm,pulse_energy,design_seconds,time_horizon,score_mode,worst_weight,train_net_points,base_train_points,hard_points_requested,hard_points_used,design_points_per_axis,certificate_points_per_axis
Z,selected_hard_augmented_mean_worst,7528,0.0,-0.04,-0.06666666666667,0.07774602526460686,0.08,25,0.006666666666666668,0.005773502691896259,0.9973376523841664,0.0026623476158336157,-0.005672013826869632,-0.03267087770142768,-0.031304606574517,0.045601933987706456,0.15578131721390875,-0.12226583082153247,0.18587688280080916,0.8689566913168729,-0.11442962360737907,0.36946987043743484,0.928527335048528,1.0203176518852481,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7529,0.0,-0.04,-0.06,0.07211102550927978,0.08,25,0.006666666666666668,0.005773502691896259,0.9975379865501243,0.002462013449875733,-0.004470541512661477,-0.033383045120136234,-0.02877306161754961,0.044297883897053004,0.14666682168361833,-0.1274026012395233,0.17460061295423013,0.8638550114472929,-0.09939885141752484,0.38979126139998055,0.9184912445519342,1.016310839196646,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7530,0.0,-0.04,-0.05333333333333,0.066666666666664,0.08,25,0.006666666666666668,0.005773502691896259,0.9977210013787996,0.002278998621200401,-0.00334349897567663,-0.033998554871479625,-0.026110220627637515,0.042997957393035184,0.13787655483566497,-0.1320116691594344,0.1635522861796374,0.8589118772553914,-0.08542965823406067,0.4088391158294253,0.909137455156055,1.0133302991254074,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7531,0.0,-0.04,-0.04666666666667,0.061463629715288445,0.08,25,0.006666666666666668,0.005773502691896259,0.9978858507137205,0.0021141492862795097,-0.0022892819391994515,-0.03452442956278551,-0.023324953168924634,0.04172805397769479,0.12938990991040566,-0.13610975182298563,0.15275698817381012,0.8540948057917204,-0.07250547758106385,0.426501443741913,0.9004243142806515,1.0111173918462528,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7532,0.0,-0.04,-0.04,0.0565685424949238,0.08,25,0.006666666666666668,0.005773502691896259,0.9980317499366502,0.0019682500633497746,-0.001306125109615485,-0.03496757760316835,-0.020426838931434405,0.04051781330435211,0.12118804707697645,-0.13971423356872784,0.14223793881703017,0.8493725385913623,-0.06060862517057501,0.44267724886372994,0.8923093272819161,1.009422412184508,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7533,0.0,-0.04,-0.03333333333333,0.0520683311727089,0.08,25,0.006666666666666668,0.005773502691896259,0.9981579804552211,0.0018420195447789167,-0.00039211460011960575,-0.035334785924550194,-0.017426093443862867,0.03940012161031559,0.11325386819887107,-0.1428431352623252,0.1320164974284292,0.8447151024348756,-0.04972035070147032,0.45727682217084814,0.8847474896196925,1.0080086286117178,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7534,0.0,-0.04,-0.02666666666667,0.04807401700618837,0.08,25,0.006666666666666668,0.005773502691896259,0.9982638936890332,0.0017361063109667674,0.00045479969518313554,-0.035632713045489595,-0.01433349193537356,0.038410233959276556,0.10557199081518837,-0.14551508165726862,0.12211217237638723,0.8400938670076814,-0.03982088891929789,0.47022200337545605,0.8776895933374204,1.0066555184074042,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7535,0.0,-0.04,-0.02,0.044721359549995794,0.08,25,0.006666666666666668,0.005773502691896259,0.9983489145426006,0.0016510854573994482,0.0012367918055373947,-0.035867882473215096,-0.011160291565190938,0.03758439509826767,0.09812872137808148,-0.1477492667320336,0.11254263496263975,0.8354815993308913,-0.030889510032637124,0.4814464088640269,0.8710807211505158,1.005161229881235,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7536,0.0,-0.04,-0.01333333333333,0.04216370213557734,0.08,25,0.006666666666666668,0.005773502691896259,0.9984125443550189,0.001587455644981084,0.001956147494379272,-0.03604667643981818,-0.007918152248253818,0.036957902137475775,0.09091202776701834,-0.14956541706601353,0.10332373750222913,0.8308525148388592,-0.022904569553598098,0.4908956247411136,0.8648592060038947,1.0033443420066352,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7537,0.0,-0.04,-0.00666666666667,0.04055175020198868,0.08,25,0.006666666666666668,0.005773502691896259,0.9984543633177801,0.001545636682219853,0.0026152522044909417,-0.03617532996892037,-0.004619056313509506,0.036562682118257334,0.08391151108301154,-0.15098375333238423,0.09446953552374304,0.8261823249827938,-0.01584355760195233,0.4985273637987653,0.8589563536160463,1.0010450133346354,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7538,0.0,-0.04,0.0,0.04,0.08,25,0.006666666666666668,0.005773502691896259,0.9984740323537571,0.0015259676462429095,0.003216579164690283,-0.03625992526927824,-0.0012752272388322217,0.03642464504380272,0.07711837671067862,-0.15202495000079885,0.08599231401671781,0.8214482812450297,-0.00968314768564893,0.5043115854100356,0.8532971709533828,0.9981256191728984,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7539,0.0,-0.04,0.00666666666667,0.04055175020198868,0.08,25,0.006666666666666668,0.005773502691896259,0.9984712944520442,0.001528705547955811,0.0037626776847871496,-0.036306386451829376,0.0021009522874201325,0.03656125601047085,0.07052540462223589,-0.15271009335698704,0.07790261765412537,0.8166292154555267,-0.004399244943983471,0.508230577535917,0.8478022039490729,0.9944709728233472,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7540,0.0,-0.04,0.01333333333333,0.04216370213557734,0.08,25,0.006666666666666668,0.005773502691896259,0.9984459754549903,0.0015540245450097467,0.004256161665076134,-0.03632047456645343,0.005497022723559841,0.03697984645283141,0.06412691888581712,-0.1530606379593507,0.07020928491781392,0.8117055763093074,3.296618560078013e-05,0.5102790002356989,0.8423903849179613,0.9899882169778005,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7541,0.0,-0.04,0.02,0.044721359549995794,0.08,25,0.006666666666666668,0.005773502691896259,0.9983979842955192,0.0016020157044808192,0.004699698346145734,-0.036307782954432516,0.008900530192293199,0.03767707134737078,0.05791875633106447,-0.1530983616648371,0.06291948605429348,0.8066594619931771,0.003638974939180445,0.510463890277588,0.836982578197029,0.9846064582624836,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7542,0.0,-0.04,0.02666666666667,0.04807401700618837,0.08,25,0.006666666666666668,0.005773502691896259,0.9983273126845061,0.0016726873154938593,0.0050959973242773494,-0.03627373291207536,0.012299108898884303,0.03863962949889965,0.05189823431724161,-0.15284531936728532,0.05603876478659753,0.8014746488396157,0.006444897920198256,0.5088046266587399,0.8315053582508074,0.9782762036399363,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7543,0.0,-0.04,0.03333333333333,0.0520683311727089,0.08,25,0.006666666666666668,0.005773502691896259,0.9982340342497684,0.0017659657502315795,0.00544779985723663,-0.03622356966036311,0.015680563189198415,0.03984602344217213,0.046064117543234584,-0.1523237956013651,0.049571083704715635,0.7961366159365517,0.008477433618566399,0.5053328570581812,0.8258945068189638,0.9709686433846217,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7544,0.0,-0.04,0.04,0.0565685424949238,0.08,25,0.006666666666666668,0.005773502691896259,0.9981183031299118,0.001881696870088212,0.005757868484708743,-0.036162358614718726,0.019032948987808496,0.04126890327158264,0.04041658383484559,-0.15155625617387408,0.04351887325359319,0.7906325656333855,0.00976381787457703,0.5000923854598466,0.820097783961579,0.9626748124845745,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7545,0.0,-0.04,0.04666666666667,0.061463629715288445,0.08,25,0.006666666666666668,0.005773502691896259,0.997980352028047,0.002019647971952976,0.00602897698706456,-0.03609498194816724,0.02234465435863181,0.04287749833835687,0.03495718884309329,-0.15056529899153703,0.03788308423264869,0.7849514398960636,0.010331780421345305,0.49313902139452814,0.8140766813839604,0.9534046509771157,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7546,0.0,-0.04,0.05333333333333,0.066666666666664,0.08,25,0.006666666666666668,0.005773502691896259,0.9978204897320682,0.002179510267931839,0.006263900705584219,-0.036026135440222096,0.025604478934386776,0.0446397606210887,0.029688829586123733,-0.14937360426068844,0.03266324371427953,0.779083932476313,0.01020950265048165,0.4845403914554908,0.8078070534414649,0.9431859740078121,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7547,0.0,-0.04,0.06,0.07211102550927978,0.08,25,0.006666666666666668,0.005773502691896259,0.9976390981098551,0.0023609018901449286,0.006465407246587637,-0.035960325602831245,0.028801711966043975,0.04652402734610181,0.02461570676912217,-0.1480038842390029,0.02785751428206132,0.7730224968737254,0.009425576753730458,0.47437571394096845,0.8012786927955498,0.9320633542670431,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7548,0.0,-0.04,0.06666666666667,0.07774602526460686,0.08,25,0.006666666666666668,0.005773502691896259,0.9974366285894318,0.0025633714105681715,0.006636247591254522,-0.035901867073682925,0.031926208749788854,0.048500171614169814,0.01974328581903273,-0.14647883272304058,0.02346275648071,0.7667613500827197,0.00800896639794868,0.4627355376659652,0.7944940429836241,0.9200969128169593,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7549,0.0,-0.03830817045445,-0.07023164583315,0.08000000000000132,0.08,25,0.006666666666666668,0.005773502691896259,0.9972770343836548,0.0027229656163452187,-0.006538871751886541,-0.03076570382921462,-0.0328107268940111,0.04545139354528037,0.1592116099063572,-0.10927673388226904,0.19050613126278237,0.8804027789826545,-0.12429198183181606,0.3622264907283588,0.9387440291784207,1.0290920246914146,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7550,0.0,-0.03830817045445,0.07023164583315,0.08000000000000132,0.08,25,0.006666666666666668,0.005773502691896259,0.9973794868496542,0.002620513150345838,0.006474173723143689,-0.03458144630588017,0.03357429233424386,0.04863151714422637,0.01580345233838487,-0.14024172758960113,0.021683428947804978,0.7658924381514811,0.005328301471395902,0.455415632118627,0.7912610969320294,0.913551849645701,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7551,0.0,-0.03577708764,-0.07155417527999,0.07999999999999859,0.08,25,0.006666666666666668,0.005773502691896259,0.9973079375092718,0.0026920624907281754,-0.007047113368202209,-0.02835194919454842,-0.033612552880933955,0.04453424009824498,0.15872857884084157,-0.09333143007169048,0.19035368990505147,0.8941094241601841,-0.12975596643535808,0.36423979508391735,0.9482260939072115,1.039644574018545,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7552,0.0,-0.03577708764,0.07155417527999,0.07999999999999859,0.08,25,0.006666666666666668,0.005773502691896259,0.997419744904593,0.002580255095407047,0.006158095107048836,-0.03263505639816955,0.03418394970975719,0.0476603761967777,0.012761451146664493,-0.13210364708645836,0.021455114290018423,0.7680288582517167,0.0022674136747902196,0.451915795274623,0.7904738355396459,0.9110942547818679,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7553,0.0,-0.03333333333333,-0.06666666666667,0.07453559924999448,0.08,25,0.006666666666666668,0.005773502691896259,0.9975359038265256,0.0024640961734744282,-0.006359512454746339,-0.026768898954373677,-0.03208610689258179,0.042267429605001135,0.14962586243823023,-0.0844439377238691,0.1798907039144928,0.9010423902985603,-0.12021712261788052,0.3851317763310862,0.9471751815834084,1.044260012665734,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7554,0.0,-0.03333333333333,-0.06,0.06863753427324505,0.08,25,0.006666666666666668,0.005773502691896259,0.9977411080256982,0.0022588919743018465,-0.005196100420321717,-0.027519055415600013,-0.029453777884368593,0.0406426242042348,0.14059979422616675,-0.0907089979980394,0.16916604569990207,0.8947583759508703,-0.10501349167701596,0.40436722919278517,0.9362545448492898,1.0390476038446104,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7555,0.0,-0.03333333333333,-0.05333333333333,0.06289320754703943,0.08,25,0.006666666666666668,0.005773502691896259,0.9979283450054701,0.0020716549945298812,-0.004103494812859848,-0.02817150912409011,-0.026697337915088437,0.03902845689699093,0.13189212789956262,-0.09641520631073855,0.15865299087232088,0.8886291090188565,-0.09090344582077615,0.4223457007221039,0.9260466846863128,1.0348397545907762,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7556,0.0,-0.03333333333333,-0.04666666666667,0.05734883511361829,0.08,25,0.006666666666666668,0.005773502691896259,0.9980968161331445,0.0019031838668555068,-0.0030802026835998683,-0.028733492271955596,-0.02382554222995198,0.03745340691133202,0.12348214431800975,-0.10157924116929234,0.1483759111706664,0.8826242056924456,-0.07786927102777695,0.4389563771951366,0.9165007905279307,1.0313829467104725,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7557,0.0,-0.03333333333333,-0.04,0.0520683311727089,0.08,25,0.006666666666666668,0.005773502691896259,0.9982457835263907,0.0017542164736092936,-0.002124574723128929,-0.029212114989626614,-0.020847848537773828,0.0359512763135787,0.11535090154940697,-0.10621851040387648,0.13835734390286766,0.8767144167308141,-0.06589207201583516,0.4540993848930258,0.9075656451854874,1.0284328047032372,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7558,0.0,-0.03333333333333,-0.03333333333333,0.047140452079098456,0.08,25,0.006666666666666668,0.005773502691896259,0.9983745744909869,0.001625425509013123,-0.0012348174690104408,-0.029614357654045798,-0.01777434307929593,0.03456099282925809,0.1074812107339449,-0.11035111692936936,0.1286179992488501,0.8708716905293766,-0.05495182711360666,0.4676860843728142,0.8991882269993848,1.0257579196015132,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7559,0.0,-0.03333333333333,-0.02666666666667,0.04268749491621847,0.08,25,0.006666666666666668,0.005773502691896259,0.9984825854593808,0.0015174145406191553,-0.00040900545028375174,-0.029947063560595788,-0.01461566484001231,0.033325839225386324,0.09985761106747232,-0.11399582252158502,0.11917677187637163,0.8650692330140872,-0.045027442521575756,0.4796393325767946,0.8913123584208617,1.0231429283951265,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7560,0.0,-0.03333333333333,-0.02,0.03887301263229915,0.08,25,0.006666666666666668,0.005773502691896259,0.9985692854184214,0.0014307145815786182,0.00035490675958183004,-0.030216931954987092,-0.011382928126920044,0.03229179444259709,0.09246634394309583,-0.11717200966226995,0.11005075677222642,0.8592815642356301,-0.03609680605560417,0.4898937113134546,0.8838775897181198,1.0203908743347356,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,7561,0.0,-0.03333333333333,-0.01333333333333,0.0359010987142257,0.08,25,0.006666666666666668,0.005773502691896259,0.9986342188161187,0.0013657811838813094,0.0010590726090528996,-0.030430511421899897,-0.00808764373790205,0.03150472411275573,0.08529532627104874,-0.11989964152274461,0.10125526919543809,0.8534845715397976,-0.02813684043679754,0.49839572079268757,0.8768185457499028,1.0173249096421444,4.1775,32.87119478313252,8.0,mean_worst,0.25,547,335,256,212,13,25
