task,baseline,train_noise_case,eval_noise_case,disorder_strength,gamma_phi,gamma_relax,seed,final_fidelity,final_infidelity,final_purity,pulse_energy,segments,training_objective,best_restart_seed,optimizer_iterations,optimizer_success,optimization_seconds
Z,open_system_grape,combined,combined,0.08,0.005,0.002,49,0.9768501944804054,0.023149805519594557,0.959439338142275,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,combined,0.08,0.005,0.002,50,0.9798091093544089,0.020190890645591097,0.9624686745350399,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,combined,0.08,0.005,0.002,51,0.9763650319315988,0.023634968068401152,0.9611428695742025,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,combined,0.08,0.005,0.002,52,0.9739356869915943,0.026064313008405726,0.9588320081053288,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,combined,0.08,0.005,0.002,53,0.9796509259625463,0.020349074037453674,0.9622947595147728,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,combined,0.08,0.005,0.002,54,0.9787291914881011,0.021270808511898887,0.9607733555228053,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,combined,0.08,0.005,0.002,55,0.979128871575213,0.020871128424787,0.9624719890512875,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,combined,0.08,0.005,0.002,56,0.9794103839031503,0.020589616096849728,0.9605954193647862,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,combined,0.08,0.005,0.002,57,0.9800800538469436,0.019919946153056367,0.9611513690844018,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,combined,0.08,0.005,0.002,58,0.9769829915941559,0.023017008405844086,0.9602057539135569,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
Z,open_system_grape,combined,combined,0.08,0.005,0.002,59,0.9789644626480096,0.021035537351990374,0.9596244415879995,0.6396797321823602,40,0.005128298185613343,17,100,False,31.47841468406841
H,open_system_grape,combined,static_only,0.08,0.0,0.0,10,0.99539214268528,0.004607857314720021,0.9981920173069925,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,11,0.9991362008181465,0.0008637991818535307,0.9987144996581665,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,12,0.9990401618015561,0.0009598381984439186,0.9987329350748139,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,13,0.9981860872066806,0.0018139127933194388,0.9981977955108554,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,14,0.9990871395750872,0.000912860424912787,0.9982900352865466,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,15,0.995962957232289,0.004037042767710997,0.9982118598834133,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,16,0.9984934316409113,0.0015065683590886891,0.9985952750908094,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,17,0.9960595778134749,0.003940422186525128,0.9986239233741573,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,18,0.9974136724361078,0.00258632756389221,0.9981367426078838,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,19,0.998251376523555,0.0017486234764449993,0.9987205041262373,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,20,0.9989052470071238,0.0010947529928762023,0.9986692023643102,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,21,0.9946953340694964,0.005304665930503605,0.9986638029222373,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,22,0.9959021598024653,0.0040978401975346745,0.9981746708880802,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,23,0.9966904270408194,0.003309572959180551,0.9986644108513874,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,24,0.9962535463312825,0.0037464536687175087,0.9985826827228601,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,25,0.997388717395936,0.002611282604063958,0.9984900207434656,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,26,0.9966692966630424,0.003330703336957619,0.9981307951388183,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,27,0.9990202004364396,0.000979799563560424,0.9986715068204043,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,28,0.9948427208422771,0.005157279157722905,0.9983968169761469,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,29,0.9945953633859899,0.005404636614010139,0.9983860457414038,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,30,0.995674129094036,0.0043258709059640355,0.9986514103327683,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
