system,disorder_strength,seed,tail_infidelity_mean,tail_stability_range,final_fidelity,pulse_energy
horizon_lyapunov_H,0.0,11,0.0006720441118641356,0.001211414211049977,0.9992467831180307,5.6075
horizon_lyapunov_H,0.0,12,0.0006720441118641356,0.001211414211049977,0.9992467831180307,5.6075
horizon_lyapunov_H,0.0,13,0.0006720441118641356,0.001211414211049977,0.9992467831180307,5.6075
horizon_lyapunov_H,0.0,14,0.0006720441118641356,0.001211414211049977,0.9992467831180307,5.6075
horizon_lyapunov_H,0.0,15,0.0006720441118641356,0.001211414211049977,0.9992467831180307,5.6075
horizon_lyapunov_H,0.0,16,0.0006720441118641356,0.001211414211049977,0.9992467831180307,5.6075
horizon_lyapunov_H,0.0,17,0.0006720441118641356,0.001211414211049977,0.9992467831180307,5.6075
horizon_lyapunov_H,0.0,18,0.0006720441118641356,0.001211414211049977,0.9992467831180307,5.6075
horizon_lyapunov_H,0.0,19,0.0006720441118641356,0.001211414211049977,0.9992467831180307,5.6075
horizon_lyapunov_H,0.02,10,0.0007387235092487192,0.0013330703025415946,0.9993787574194508,5.6075
horizon_lyapunov_H,0.02,11,0.0007160572726679703,0.0013220412349695954,0.9991311009252484,5.6075
horizon_lyapunov_H,0.02,12,0.0007156334041254672,0.00135330338052142,0.999183759965083,5.6075
horizon_lyapunov_H,0.02,13,0.0006814375153267776,0.0010669730489253348,0.9987634426313095,5.6075
horizon_lyapunov_H,0.02,14,0.0006493264207420077,0.0013952878249792189,0.9993761029869033,5.6075
horizon_lyapunov_H,0.02,15,0.0007589074304018826,0.0012703403582202677,0.9990755667628268,5.6075
horizon_lyapunov_H,0.02,16,0.0007619640250218218,0.001413151140724711,0.9990739355866584,5.6075
horizon_lyapunov_H,0.02,17,0.000637533086489162,0.0013778341529953053,0.9993588459010011,5.6075
horizon_lyapunov_H,0.02,18,0.0007350959280623549,0.0011306852356207653,0.9987658604022365,5.6075
horizon_lyapunov_H,0.02,19,0.0007453164119485901,0.0015128846531781148,0.9992995738064058,5.6075
horizon_lyapunov_H,0.05,10,0.0009620559203073238,0.0018162595858165487,0.9994706001535671,5.6075
horizon_lyapunov_H,0.05,11,0.0008507326888187238,0.0017181757064446135,0.998865737505024,5.6075
horizon_lyapunov_H,0.05,12,0.000840252115209608,0.0018383373118070478,0.9989918025683211,5.6075
horizon_lyapunov_H,0.05,13,0.000935072296367092,0.002157808413254081,0.9974865395418748,5.6075
horizon_lyapunov_H,0.05,14,0.0007190903643783809,0.0019401166238611767,0.9994704159827115,5.6075
horizon_lyapunov_H,0.05,15,0.0009991167025461332,0.0013879392792359724,0.9987055923895342,5.6075
horizon_lyapunov_H,0.05,16,0.0010268684760046652,0.0021693604694854596,0.9986979938418726,5.6075
horizon_lyapunov_H,0.05,17,0.0007196532483963907,0.0020505404541766303,0.9993902412049436,5.6075
horizon_lyapunov_H,0.05,18,0.0010008771877731124,0.002293935616437315,0.9975991204660917,5.6075
horizon_lyapunov_H,0.05,19,0.0009407323246486886,0.0024963140902897196,0.9992407944057191,5.6075
horizon_lyapunov_H,0.08,10,0.0013608393847571573,0.002759357995469447,0.99943208680442,5.6075
horizon_lyapunov_H,0.08,11,0.0010710727468171328,0.0023824706103309223,0.9985291504125984,5.6075
horizon_lyapunov_H,0.08,12,0.0010361368617673053,0.002611612632479665,0.9987339275722656,5.6075
horizon_lyapunov_H,0.08,13,0.00152674627711703,0.004119462022928233,0.9954087159235616,5.6075
horizon_lyapunov_H,0.08,14,0.0009035499245163452,0.0025051793557130386,0.9994548323188015,5.6075
horizon_lyapunov_H,0.08,15,0.0013757079915067113,0.0018115549176181966,0.9982371683127734,5.6075
horizon_lyapunov_H,0.08,16,0.0014695122945223914,0.003613005236885347,0.9981552764870563,5.6075
horizon_lyapunov_H,0.08,17,0.0009669074362896403,0.0029972273301969166,0.999208171019767,5.6075
horizon_lyapunov_H,0.08,18,0.0014832148131417417,0.003978320527246115,0.9959199358455049,5.6075
horizon_lyapunov_H,0.08,19,0.001234940440888502,0.004051496867974347,0.9990908867188845,5.6075
