task,baseline,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,training_objective,best_restart_seed
Z,terminal_process_open_loop,0.08,40,0.9966151997814525,0.9951864370273243,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,41,0.9915968748493329,0.9825837181877061,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,42,0.9624940131638664,0.9748205853925876,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,43,0.9248410820899253,0.9470693979142387,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,44,0.9996155634068802,0.9978218077428437,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,45,0.9787149167009203,0.9842789322145791,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,46,0.9319958001427823,0.944189981089278,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,47,0.9686297951937135,0.9746411271594422,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,48,0.948825910020886,0.9583239258025795,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,49,0.9587222770642594,0.9708661975666626,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,50,0.9754399552784224,0.9831548379618535,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,51,0.984189926800249,0.9871947435836393,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,52,0.9869912130921386,0.97890549996999,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,53,0.9673337346427036,0.9782079625494572,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,54,0.9952281939766641,0.9923800843973821,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,55,0.9714790677733777,0.9797281088712214,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,56,0.9993726836650771,0.995566615597992,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,57,0.999536356154721,0.9990146207516881,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,58,0.9684389835211374,0.9752273108515684,1.132177173483357,20,0.014513481419485334,33
Z,terminal_process_open_loop,0.08,59,0.9936324899223976,0.9901517639563112,1.132177173483357,20,0.014513481419485334,33
H,terminal_process_open_loop,0.08,10,0.9997757510507503,0.9970223138312422,1.129996649817001,20,0.00023059181329800348,22
