task,design_label,disorder_strength,seed,score_mode,worst_weight,train_points_per_axis,train_net_points,base_train_points,hard_points_requested,hard_points_used,eval_points_per_axis,eval_net_points,final_fidelity,pulse_energy,shifted_selected_fraction,design_seconds
Z,coarse,0.02,44,mean_worst,0.5,7,335,335,256,0,13,2145,0.9983666593753451,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,45,mean_worst,0.5,7,335,335,256,0,13,2145,0.9991559336289713,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,46,mean_worst,0.5,7,335,335,256,0,13,2145,0.9984362984391022,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,47,mean_worst,0.5,7,335,335,256,0,13,2145,0.9992433912187155,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,48,mean_worst,0.5,7,335,335,256,0,13,2145,0.9979366919964676,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,49,mean_worst,0.5,7,335,335,256,0,13,2145,0.9978383039835015,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,50,mean_worst,0.5,7,335,335,256,0,13,2145,0.9984885484492306,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,51,mean_worst,0.5,7,335,335,256,0,13,2145,0.9991654721055745,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,52,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988105500548005,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,53,mean_worst,0.5,7,335,335,256,0,13,2145,0.9986831302073373,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,54,mean_worst,0.5,7,335,335,256,0,13,2145,0.9982989624171624,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,55,mean_worst,0.5,7,335,335,256,0,13,2145,0.999158039946576,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,56,mean_worst,0.5,7,335,335,256,0,13,2145,0.9978390923463325,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,57,mean_worst,0.5,7,335,335,256,0,13,2145,0.9974929106260388,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,58,mean_worst,0.5,7,335,335,256,0,13,2145,0.9992421558066038,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.02,59,mean_worst,0.5,7,335,335,256,0,13,2145,0.9975701665888708,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,10,mean_worst,0.5,7,335,335,256,0,13,2145,0.998287885225846,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,11,mean_worst,0.5,7,335,335,256,0,13,2145,0.9928502895067324,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,12,mean_worst,0.5,7,335,335,256,0,13,2145,0.9930722172114972,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,13,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988370285288601,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,14,mean_worst,0.5,7,335,335,256,0,13,2145,0.9975454596766684,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,15,mean_worst,0.5,7,335,335,256,0,13,2145,0.9989544657647832,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,16,mean_worst,0.5,7,335,335,256,0,13,2145,0.9940426342544293,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,17,mean_worst,0.5,7,335,335,256,0,13,2145,0.9983653521740155,3.66,0.1919191919191919,21.61595808598213
