task,design_label,disorder_strength,seed,score_mode,worst_weight,train_points_per_axis,train_net_points,base_train_points,hard_points_requested,hard_points_used,eval_points_per_axis,eval_net_points,final_fidelity,pulse_energy,shifted_selected_fraction,design_seconds
Z,coarse,0.02,25,max_net,0.25,7,335,335,256,0,13,2145,0.9992121943897689,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,26,max_net,0.25,7,335,335,256,0,13,2145,0.9988035954737166,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,27,max_net,0.25,7,335,335,256,0,13,2145,0.9990271363020408,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,28,max_net,0.25,7,335,335,256,0,13,2145,0.9990273596045771,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,29,max_net,0.25,7,335,335,256,0,13,2145,0.9990172658997241,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,30,max_net,0.25,7,335,335,256,0,13,2145,0.9991813035409035,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,31,max_net,0.25,7,335,335,256,0,13,2145,0.9990981520939863,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,32,max_net,0.25,7,335,335,256,0,13,2145,0.9991380560049159,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,33,max_net,0.25,7,335,335,256,0,13,2145,0.9987728074550883,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,34,max_net,0.25,7,335,335,256,0,13,2145,0.9987535746688945,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,35,max_net,0.25,7,335,335,256,0,13,2145,0.9991483610378307,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,36,max_net,0.25,7,335,335,256,0,13,2145,0.9989564317078443,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,37,max_net,0.25,7,335,335,256,0,13,2145,0.9992203362526038,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,38,max_net,0.25,7,335,335,256,0,13,2145,0.9990453751825269,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,39,max_net,0.25,7,335,335,256,0,13,2145,0.9991999959608061,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,40,max_net,0.25,7,335,335,256,0,13,2145,0.9989471346488952,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,41,max_net,0.25,7,335,335,256,0,13,2145,0.9990671465653977,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,42,max_net,0.25,7,335,335,256,0,13,2145,0.9987589303870285,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,43,max_net,0.25,7,335,335,256,0,13,2145,0.999157792562867,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,44,max_net,0.25,7,335,335,256,0,13,2145,0.9990327699649386,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,45,max_net,0.25,7,335,335,256,0,13,2145,0.9988307886222674,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,46,max_net,0.25,7,335,335,256,0,13,2145,0.9992018634706441,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,47,max_net,0.25,7,335,335,256,0,13,2145,0.9990614343574638,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,48,max_net,0.25,7,335,335,256,0,13,2145,0.9992468809232637,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,49,max_net,0.25,7,335,335,256,0,13,2145,0.9991870252986171,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,50,max_net,0.25,7,335,335,256,0,13,2145,0.9987826998010758,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,51,max_net,0.25,7,335,335,256,0,13,2145,0.9988524247001761,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,52,max_net,0.25,7,335,335,256,0,13,2145,0.9990786764453319,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,53,max_net,0.25,7,335,335,256,0,13,2145,0.9987290271654322,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,54,max_net,0.25,7,335,335,256,0,13,2145,0.9989318092297017,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,55,max_net,0.25,7,335,335,256,0,13,2145,0.9989755691747062,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,56,max_net,0.25,7,335,335,256,0,13,2145,0.9990090787995981,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,57,max_net,0.25,7,335,335,256,0,13,2145,0.9989654201872626,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,58,max_net,0.25,7,335,335,256,0,13,2145,0.9990739104958877,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.02,59,max_net,0.25,7,335,335,256,0,13,2145,0.9991756825179954,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,10,max_net,0.25,7,335,335,256,0,13,2145,0.9978545900584022,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,11,max_net,0.25,7,335,335,256,0,13,2145,0.9989032414243141,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,12,max_net,0.25,7,335,335,256,0,13,2145,0.998996203270422,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,13,max_net,0.25,7,335,335,256,0,13,2145,0.9977721141473634,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,14,max_net,0.25,7,335,335,256,0,13,2145,0.9990768352054371,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,15,max_net,0.25,7,335,335,256,0,13,2145,0.9977278286666832,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,16,max_net,0.25,7,335,335,256,0,13,2145,0.9989427939252861,4.4275,0.1111111111111111,22.094228454167023
