task,baseline,objective_kind,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,training_objective,best_restart_seed,optimizer_iterations,optimizer_success,optimization_seconds
Z,ensemble_grape,process,0.08,50,0.9995707069102419,0.9986411670043543,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,51,0.9990609547646147,0.9973972863084329,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,52,0.9978419690765228,0.9965602134893792,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,53,0.9997159122437407,0.995998446657636,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,54,0.9996431186519867,0.9886886210165541,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,55,0.9985022297434099,0.9979459582443994,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,56,0.9994071008265655,0.9887794898372281,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,57,0.9996326191025202,0.9945297674796558,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,58,0.9996909542264353,0.9937547331456885,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
Z,ensemble_grape,process,0.08,59,0.9984639091381042,0.9924691200721142,0.7012055419457385,60,0.006992642949236226,22,13,True,39.85651200101711
H,ensemble_grape,state,0.08,10,0.9907320547128532,0.36615803064507535,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,11,0.9971946635259172,0.7259800182209224,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,12,0.9973290593345063,0.6981030994193143,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,13,0.997969621538303,0.5556725739191385,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,14,0.9989992070944175,0.3382265392786797,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,15,0.9964716969256064,0.5445742322945076,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,16,0.9947356379507516,0.7476229680787073,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,17,0.9966949993656475,0.39633497099961895,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
