system,controller,eval_strength,noise_case,gamma_phi,gamma_relax,seed,final_fidelity,final_leakage,max_leakage,tail_infidelity_mean,final_purity,pulse_energy,segments,training_seconds,training_objective,optimizer_iterations,optimizer_success
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,13,0.521082903524364,0.024637973133712632,0.02592925833851001,0.5133578075475805,0.9709178437468328,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,14,0.6827604442511085,0.028478853275871074,0.030199767371877462,0.3384300607739854,0.9668964983930931,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,15,0.898944813009823,0.05584685047143645,0.06084117100040676,0.09782266998111581,0.96373794033222,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,16,0.8511691989514568,0.05077527849419183,0.054329221729983,0.08248565071054767,0.9610319060940165,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,17,0.9287330705612459,0.039401272679813415,0.043591367756052324,0.11909041717441272,0.9667111970827952,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,18,0.9009058869769858,0.0540297598479097,0.054726482121645104,0.13714204035678434,0.96629685653379,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,19,0.8040118292897624,0.034382655513738425,0.03875543834441775,0.10934239742153362,0.9608532813816156,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,20,0.8853276957951257,0.05402402326847844,0.056440423758954195,0.08599320121744582,0.9624423026922825,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,21,0.9043707370814822,0.038141879719659544,0.04356255498784345,0.06246838214621045,0.9625178829238511,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,22,0.8978284326987556,0.04116464806515274,0.04527571656148677,0.0666056477449898,0.9619415433932461,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,23,0.8937761551490304,0.04514337537118551,0.047554356436445566,0.0937666099458503,0.963865663492322,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,24,0.8318512326059427,0.02661476546341046,0.03447859491305927,0.1609645268549408,0.9645724606860432,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,25,0.8162478485335376,0.040682971126207,0.04370032035680338,0.17263064889018742,0.9645394182950964,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,26,0.8911675536685612,0.05730953827652119,0.05730953827652119,0.12758600853373525,0.9654193739941861,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,27,0.8557009211483582,0.040127041108846684,0.04379217592194795,0.1713187580870925,0.9666364477495099,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,28,0.8951068248752293,0.05809677722244366,0.06368897739112134,0.07541733286172214,0.9619174312854212,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,29,0.9309231223975544,0.048501684720239524,0.050335652137989184,0.10139559486031705,0.9656736374511203,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,30,0.8185173829707036,0.038709571193710546,0.03971978804436738,0.2374095101611359,0.9682027903110105,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,31,0.7992027261728109,0.038266895803430456,0.047493469336829075,0.11739920991571429,0.9602492285087751,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,32,0.8004974650431685,0.03762697685435312,0.04214446056528931,0.11054668000890475,0.9606576781341225,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,33,0.8029837404607126,0.03852367590172778,0.03852367590172778,0.27018824912052886,0.9693675416910046,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,34,0.8286461948577094,0.05475561333919021,0.05484476094226476,0.18211386280854888,0.9655156041804537,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,35,0.8996843422162141,0.06160418693564074,0.06494678144255994,0.10361037436764571,0.9636550515904737,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,36,0.8291326571899893,0.04211565233355863,0.047487942377510306,0.09853090306933567,0.9616147047450644,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,37,0.8719915030161162,0.03867495176621871,0.04295016261822593,0.21182682292510055,0.9695922830348637,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,38,0.7186040575189078,0.022827005288311275,0.023780454868900902,0.33857122248527616,0.9693848420769927,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,39,0.8389618612073654,0.04183346784276598,0.051834549425572196,0.11577321449119804,0.9624132711943226,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,40,0.91582261248129,0.054245301041466853,0.05659488564841031,0.07616303154068729,0.9636426294181876,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,41,0.8707020498531499,0.04761473291689944,0.05062426269312348,0.08286312583928808,0.9618498835011673,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,42,0.8591404939000826,0.050976370741694366,0.050976370741694366,0.17570383155607566,0.9660731202425914,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,43,0.8226807143154936,0.0357332214961994,0.04023700810601305,0.1287785836893275,0.9632627114133808,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,44,0.666112636157059,0.027338667433399744,0.029750303612286366,0.41806046257607493,0.971211393182706,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,45,0.8534501372311037,0.04867409889217478,0.05316837130370056,0.16305830469783256,0.9650436253363528,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,46,0.7746110306224765,0.035291796814210796,0.038387977692803,0.1138902500213105,0.9604146553194449,0.0013843749999999998,120,67.32922316598706,,,
