task,controller,reference_type,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,horizon_steps,beam_width,reference_objective,reference_refreshes,reference_iterations,reference_success,reference_seconds,horizon_seconds
Z,process_dcrab_reference,process_dcrab,0.08,45,0.9998039371597354,0.9985972289082033,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,46,0.9990529639952852,0.9960167568862676,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,47,0.9997461700159795,0.9926997894066302,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,48,0.9994255450298458,0.9987635277960668,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,49,0.9999991847219716,0.9997782219901987,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,50,0.9990990825972483,0.9951466866231597,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,51,0.9996955455358962,0.997542401569859,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,52,0.9981906435378998,0.9908738186944207,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,53,0.9996099388383373,0.9981620776285934,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,54,0.9994441698218541,0.9994332067583186,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,55,0.999452250738203,0.9993555041248342,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,56,0.9994778015255653,0.9996459466191974,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,57,0.9995023968582119,0.9973862215067902,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,58,0.9997713295126002,0.9934189629135495,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,process_dcrab_reference,process_dcrab,0.08,59,0.9993339293492041,0.9995073844472572,10.13386768571282,40,0,0,0.0036359213850768327,3,54,False,65.85247833421454,0.0
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,10,0.9998398135394514,0.991632025804492,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,11,0.9997396785152883,0.9996605778626083,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,12,0.9998289920860656,0.9998482406760946,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,13,0.9984029204224008,0.9973610927063264,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,14,0.9992120711068568,0.9988970492207428,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,15,0.9998431948663695,0.996351737312659,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,16,0.9998939253739618,0.9997632159623095,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,17,0.9984915073620442,0.9985223358587442,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,18,0.999838251770083,0.9998493041024892,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,19,0.999885882549933,0.9991422989742027,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
