task,controller,eval_strength,seed,state_fidelity,avg_gate_fidelity,pulse_energy,segments,horizon_steps,objective_mean,horizon_iterations,successful_steps,design_seconds
H,finite_process_seed,0.08,52,0.9804449632498009,0.9844782863752318,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,53,0.8598249664654699,0.9049154666120307,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,54,0.8608376107886484,0.907005759043822,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,55,0.9911658932487468,0.9903075886374458,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,56,0.8128046288195859,0.8742688869769019,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,57,0.7717646256862244,0.8472637156324074,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,58,0.6358764177720971,0.7572334978958306,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,59,0.8834540818597577,0.918087193500796,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,standalone_process_adjoint,0.08,10,0.8614397730404602,0.9071815749501483,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,11,0.8828772459161417,0.917321920901364,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,12,0.913818068332267,0.9369877344283545,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,13,0.98722470295423,0.9883573269628162,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,14,0.7480014934787617,0.8306308567840514,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,15,0.9910948372013038,0.9938916795608139,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,16,0.8556712149557711,0.9008145562375879,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,17,0.9235233016007708,0.9489097680767037,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
