task,step,value_depth,beam_width,residual_threshold,terminal_outside_residual,phi,current_value,best_successor_value,best_value_margin,best_fallback_norm,best_fallback_amp,best_fallback_index,state_stage_cost,expected_stage_cost,bellman_gap
Z,11,1,6,0.001,1,0.0033293719795650795,0.005966213751257111,0.0036368417716920315,0.0023293719795650794,0.0,0.0,0,0.0023293719795650794,0.0023293719795650794,0.0
Z,12,1,6,0.001,1,0.0035217982043523957,0.006425059416792799,0.0039032612124404037,0.0025217982043523957,0.0,0.0,0,0.0025217982043523957,0.0025217982043523957,0.0
Z,13,1,6,0.001,1,0.0039054753790150262,0.007246334663197005,0.004340859284181979,0.002905475379015026,0.0,0.0,0,0.002905475379015026,0.002905475379015026,0.0
Z,14,1,6,0.001,1,0.004358041021505034,0.008193090149553613,0.00483504912804858,0.003358041021505033,0.25,0.5,1,0.003358041021505034,0.003358041021505034,8.673617379884035e-19
Z,15,1,6,0.001,1,0.00464955533587471,0.008864869731632495,0.005215314395757786,0.0036495553358747088,0.0,0.0,0,0.0036495553358747096,0.0036495553358747096,8.673617379884035e-19
Z,16,1,6,0.001,1,0.005174867090535502,0.009964432473561581,0.00578956538302608,0.0041748670905355015,0.0,0.0,0,0.004174867090535502,0.004174867090535502,8.673617379884035e-19
Z,17,1,6,0.001,1,0.005549474984969514,0.010642257476289073,0.006092782491319559,0.0045494749849695135,0.0,0.0,0,0.004549474984969514,0.004549474984969514,8.673617379884035e-19
Z,18,1,6,0.001,1,0.006092782491319559,0.01173118675075413,0.006638404259434572,0.0050927824913195585,0.0,0.0,0,0.005092782491319559,0.005092782491319559,8.673617379884035e-19
Z,19,1,6,0.001,1,0.0056280676035384836,0.010688003093882799,0.006059935490344316,0.004628067603538483,0.0,0.0,0,0.0046280676035384835,0.0046280676035384835,8.673617379884035e-19
Z,20,1,6,0.001,1,0.004887326328544411,0.008983937843755355,0.005096611515210944,0.0038873263285444104,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113,0.0038873263285444113,8.673617379884035e-19
Z,21,1,6,0.001,1,0.005096611515210944,0.009451221050011518,0.005354609534800575,0.004096611515210943,0.0,0.0,0,0.004096611515210944,0.004096611515210944,8.673617379884035e-19
Z,22,1,6,0.001,1,0.004701739725409604,0.008606390248844173,0.00490465052343457,0.003701739725409603,0.0,0.0,0,0.003701739725409604,0.003701739725409604,8.673617379884035e-19
Z,23,1,6,0.001,1,0.0048337679649592055,0.008932859095437805,0.0050990911304786,0.0038337679649592046,0.0,0.0,0,0.0038337679649592055,0.0038337679649592055,8.673617379884035e-19
Z,24,1,6,0.001,1,0.004855861042766446,0.008964860347754504,0.005108999304988059,0.0038558610427664453,0.25,0.5,4,0.003855861042766446,0.003855861042766446,8.673617379884035e-19
Z,25,1,6,0.001,1,0.004461423725304309,0.008164587812625461,0.004703164087321153,0.003461423725304308,1.0,1.0,12,0.0034614237253043087,0.0034614237253043087,8.673617379884035e-19
Z,26,1,6,0.001,1,0.00467001573059516,0.008697494300473126,0.005027478569877966,0.0036700157305951595,0.0,0.0,0,0.0036700157305951603,0.0036700157305951603,8.673617379884035e-19
Z,27,1,6,0.001,1,0.004944390116351886,0.009321608514338685,0.005377218397986799,0.0039443901163518855,0.0,0.0,0,0.003944390116351886,0.003944390116351886,8.673617379884035e-19
Z,28,1,6,0.001,1,0.0051619721348036135,0.009855955042763605,0.005693982907959992,0.004161972134803613,0.0,0.0,0,0.0041619721348036135,0.0041619721348036135,8.673617379884035e-19
Z,29,1,6,0.001,1,0.005693982907959992,0.011012680210410804,0.0063186973024508125,0.004693982907959991,0.24999999999999994,0.49999999999999994,7,0.004693982907959992,0.004693982907959992,8.673617379884035e-19
Z,30,1,6,0.001,1,0.006004117145252542,0.011721167339189126,0.006717050193936584,0.0050041171452525415,0.0,0.0,0,0.005004117145252542,0.005004117145252542,8.673617379884035e-19
Z,31,1,6,0.001,1,0.006630645481194353,0.013071445782506116,0.007440800301311765,0.005630645481194352,0.0,0.0,0,0.005630645481194353,0.005630645481194353,8.673617379884035e-19
Z,32,1,6,0.001,1,0.007235077884662079,0.01435032701071727,0.008115249126055192,0.006235077884662078,0.0,0.0,0,0.006235077884662079,0.006235077884662079,8.673617379884035e-19
Z,33,1,6,0.001,1,0.007773961662153987,0.015404948190134486,0.0086309865279805,0.006773961662153986,0.0,0.0,0,0.006773961662153987,0.006773961662153987,8.673617379884035e-19
Z,34,1,6,0.001,1,0.00821560531072496,0.016293043589589565,0.009077438278864605,0.00721560531072496,0.0,0.0,0,0.0072156053107249605,0.0072156053107249605,8.673617379884035e-19
