task,step,beta,previous_terminal_phi,tail_phi,tail_phi_abs_error,g_terminal,terminal_availability,best_successor_g,best_g_margin,best_successor_phi,best_successor_best_next_phi,best_fallback_norm,best_fallback_amp,terminal_outside_residual,residual_threshold,g_nonnegative
Z,16,0.75,0.005174867090535502,0.005174867090535502,0.0,0.005174867090535502,0.0,0.00578956538302608,-0.0006146982924905772,0.00578956538302608,0.006461245761861384,0.0,0.0,1,0.001,1
Z,16,1.0,0.005174867090535502,0.005174867090535502,0.0,0.005174867090535502,0.0,0.00578956538302608,-0.0006146982924905772,0.00578956538302608,0.006461245761861384,0.0,0.0,1,0.001,1
Z,20,0.0,0.004881731079065886,0.004881731079065886,0.0,0.004881731079065886,0.0,0.005187549124923821,-0.00030581804585793487,0.005187549124923821,0.005558535723757252,0.24999999999999994,0.49999999999999994,1,0.001,1
Z,20,0.25,0.004881731079065886,0.004881731079065886,0.0,0.004881731079065886,0.0,0.005187549124923821,-0.00030581804585793487,0.005187549124923821,0.005558535723757252,0.24999999999999994,0.49999999999999994,1,0.001,1
Z,20,0.5,0.004881731079065886,0.004881731079065886,0.0,0.004881731079065886,0.0,0.005187549124923821,-0.00030581804585793487,0.005187549124923821,0.005558535723757252,0.24999999999999994,0.49999999999999994,1,0.001,1
Z,20,0.75,0.004881731079065886,0.004881731079065886,0.0,0.004881731079065886,0.0,0.005187549124923821,-0.00030581804585793487,0.005187549124923821,0.005558535723757252,0.24999999999999994,0.49999999999999994,1,0.001,1
Z,20,1.0,0.004881731079065886,0.004881731079065886,0.0,0.004881731079065886,0.0,0.005187549124923821,-0.00030581804585793487,0.005187549124923821,0.005558535723757252,0.24999999999999994,0.49999999999999994,1,0.001,1
Z,24,0.0,0.004855861042766446,0.004855861042766446,0.0,0.004855861042766446,0.0,0.005108999304988059,-0.00025313826222161245,0.005108999304988059,0.005429623758192108,0.25,0.5,1,0.001,1
Z,24,0.25,0.004855861042766446,0.004855861042766446,0.0,0.004855861042766446,0.0,0.005108999304988059,-0.00025313826222161245,0.005108999304988059,0.005429623758192108,0.25,0.5,1,0.001,1
Z,24,0.5,0.004855861042766446,0.004855861042766446,0.0,0.004855861042766446,0.0,0.005108999304988059,-0.00025313826222161245,0.005108999304988059,0.005429623758192108,0.25,0.5,1,0.001,1
Z,24,0.75,0.004855861042766446,0.004855861042766446,0.0,0.004855861042766446,0.0,0.005108999304988059,-0.00025313826222161245,0.005108999304988059,0.005429623758192108,0.25,0.5,1,0.001,1
Z,24,1.0,0.004855861042766446,0.004855861042766446,0.0,0.004855861042766446,0.0,0.005039210381531024,-0.0001833493387645782,0.005901220582412728,0.005039210381531024,16.0,4.0,1,0.001,1
