task,controller,train_noise_case,eval_noise_case,disorder_strength,gamma_phi,gamma_relax,seed,final_fidelity,final_infidelity,final_purity,pulse_energy,segments,horizon_steps,reference_objective,reference_restart_seed,reference_iterations,reference_success,reference_seconds,horizon_objective,horizon_iterations,horizon_success,horizon_seconds
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,22,0.9520521319207892,0.04794786807921081,0.9105391127440035,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,23,0.9534750129924784,0.04652498700752161,0.9128156335617813,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,24,0.9521566074726607,0.04784339252733927,0.9126926208670194,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,25,0.9510050073623788,0.04899499263762119,0.9121789488126039,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,26,0.9525509661994258,0.04744903380057419,0.9106289184583602,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,27,0.9529258762347899,0.04707412376521014,0.9125435542901728,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,28,0.9527149036329776,0.04728509636702238,0.9122168659166703,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,29,0.9525198122932415,0.04748018770675855,0.9121612534179317,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,30,0.9530351438383737,0.04696485616162627,0.9130685433776344,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,31,0.9520264762402193,0.0479735237597807,0.9126178371411702,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,32,0.9542134471340353,0.04578655286596467,0.913335555862029,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,33,0.9511810024227597,0.048818997577240286,0.910637326104949,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
