task,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy
H,0.08,15,0.998506940732813,0.9233406348948696,5.6075
H,0.08,16,0.9985077736758265,0.8871193382747432,5.6075
H,0.08,17,0.9995674666816525,0.9067751350186262,5.6075
H,0.08,18,0.9961605034421324,0.9321029979863745,5.6075
H,0.08,19,0.9995047707192486,0.8732826863617792,5.6075
H,0.08,20,0.9987268616239935,0.8815003262789997,5.6075
H,0.08,21,0.9988883068960811,0.8918212395810358,5.6075
H,0.08,22,0.9996586553242233,0.9290327488972242,5.6075
H,0.08,23,0.9992532549775253,0.9011252091512981,5.6075
H,0.08,24,0.9997282826718099,0.9107008803461877,5.6075
H,0.08,25,0.9999200750936409,0.9184241302656972,5.6075
H,0.08,26,0.9971667167762024,0.9320353842239566,5.6075
H,0.08,27,0.9984212238582945,0.8939421088536658,5.6075
H,0.08,28,0.9999676512322202,0.9037103155714261,5.6075
H,0.08,29,0.9999933927167729,0.9049449393374799,5.6075
H,0.08,30,0.9995044479922854,0.9028305718189603,5.6075
H,0.08,31,0.9982915471440341,0.8914187239902552,5.6075
H,0.08,32,0.9992010552396262,0.8893163660407327,5.6075
H,0.08,33,0.9950901407308582,0.9280815027703708,5.6075
H,0.08,34,0.9954396647047015,0.9199422143235436,5.6075
H,0.08,35,0.9988393180549558,0.888195039764768,5.6075
H,0.08,36,0.9998099685360178,0.9162293999940965,5.6075
H,0.08,37,0.9999569464915323,0.9271790181988236,5.6075
H,0.08,38,0.9985053077552857,0.9096606467833848,5.6075
H,0.08,39,0.9991905774140083,0.8751805821635514,5.6075
H,0.08,40,0.9994357681633443,0.9304624297736664,5.6075
H,0.08,41,0.9998685774423052,0.8986722667567468,5.6075
H,0.08,42,0.9949992924954494,0.9325984644284581,5.6075
H,0.08,43,0.9988699885538254,0.8875723310542648,5.6075
H,0.08,44,0.9983718960112155,0.9102873360891904,5.6075
H,0.08,45,0.9977136473995151,0.9322947589230438,5.6075
H,0.08,46,0.999456387856918,0.8751655627615825,5.6075
H,0.08,47,0.9996104953480196,0.9135921782906609,5.6075
H,0.08,48,0.9995263836253442,0.8710479958097853,5.6075
H,0.08,49,0.9992455033411466,0.8754015028976493,5.6075
H,0.08,50,0.9953091278317586,0.9245082368565867,5.6075
H,0.08,51,0.9982219420437695,0.9305962725071829,5.6075
H,0.08,52,0.999928041004047,0.8966600075640407,5.6075
H,0.08,53,0.9950516381914201,0.9278780141632227,5.6075
H,0.08,54,0.997479186030532,0.9077996718514765,5.6075
H,0.08,55,0.996784198817996,0.9412115720571285,5.6075
H,0.08,56,0.997586661528293,0.8981016918999432,5.6075
H,0.08,57,0.9973331394778974,0.8963736046667489,5.6075
H,0.08,58,0.9996052591055729,0.9142431401619685,5.6075
H,0.08,59,0.9987930897636583,0.8826663130200346,5.6075
