task,controller,mode,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,horizon_steps,beam_width,n_train_seeds
H,process_horizon,terminal,0.08,39,0.9183346634541534,0.9455322422080926,1.575,100,6,8,8
H,process_horizon,terminal,0.08,40,0.8785035866384343,0.9173002241848235,1.575,100,6,8,8
H,process_horizon,terminal,0.08,41,0.9907487003796553,0.9937242782563102,1.575,100,6,8,8
H,process_horizon,terminal,0.08,42,0.9306508745625708,0.9484465499302828,1.575,100,6,8,8
H,process_horizon,terminal,0.08,43,0.8420106229015535,0.8946223988011454,1.575,100,6,8,8
H,process_horizon,terminal,0.08,44,0.9839515714806389,0.9867865443261236,1.575,100,6,8,8
H,process_horizon,terminal,0.08,45,0.9923371744147973,0.9909876959640057,1.575,100,6,8,8
H,process_horizon,terminal,0.08,46,0.9778441723506576,0.9851465546305423,1.575,100,6,8,8
H,process_horizon,terminal,0.08,47,0.6439309274110121,0.7625415398718881,1.575,100,6,8,8
H,process_horizon,terminal,0.08,48,0.9960248809754486,0.9972360041042106,1.575,100,6,8,8
H,process_horizon,terminal,0.08,49,0.9890097073367212,0.9926658390462327,1.575,100,6,8,8
H,process_horizon,terminal,0.08,50,0.878662194975257,0.915341196018224,1.575,100,6,8,8
H,process_horizon,terminal,0.08,51,0.9909962190429599,0.9906804363215672,1.575,100,6,8,8
H,process_horizon,terminal,0.08,52,0.984986618547377,0.9899366806540256,1.575,100,6,8,8
H,process_horizon,terminal,0.08,53,0.8732320974977652,0.9115926147253544,1.575,100,6,8,8
H,process_horizon,terminal,0.08,54,0.8532221494236653,0.9014487884287691,1.575,100,6,8,8
H,process_horizon,terminal,0.08,55,0.9818118581846635,0.9817238541749639,1.575,100,6,8,8
H,process_horizon,terminal,0.08,56,0.7999140342811305,0.8664398540495254,1.575,100,6,8,8
H,process_horizon,terminal,0.08,57,0.7640851394313206,0.8425002319826976,1.575,100,6,8,8
H,process_horizon,terminal,0.08,58,0.631799201630317,0.754446032352644,1.575,100,6,8,8
H,process_horizon,terminal,0.08,59,0.8651473484978284,0.9100864416946047,1.575,100,6,8,8
