task,controller,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,horizon_steps,beam_width,reference_objective,reference_restart_seed,reference_iterations,reference_success,reference_seconds,horizon_seconds
Z,process_grape_reference,0.08,32,0.9991645247786451,0.9955761442077359,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,33,0.9994659163476386,0.9986333588718885,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,34,0.9999693453454326,0.9930015282286243,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,35,0.9984926582014627,0.9908475512892801,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,36,0.9985639722215449,0.9980030495275116,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,37,0.9995566381001505,0.9861610753940034,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,38,0.9993246708328872,0.9968969137821109,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,39,0.9984145456054607,0.9978120560497553,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,40,0.9988253130484926,0.9991962534605986,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,41,0.9979975317563635,0.9959248990870374,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,42,0.9993570297005814,0.9982718792557174,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,43,0.9985667215961262,0.9915031803433617,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,44,0.9993375018369279,0.9973315467184368,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,45,0.9991362546004301,0.9973028633436702,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,46,0.9971508862932232,0.9980465850021375,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,47,0.9995869559337494,0.9946564183912902,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,48,0.9973949525694557,0.9980824582399626,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,49,0.9985255037877041,0.9985426963366665,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,50,0.999570706910241,0.9986411670043541,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,51,0.9990609547646163,0.9973972863084342,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,52,0.9978419690765179,0.9965602134893762,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,53,0.9997159122437431,0.9959984466576373,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,54,0.9996431186519844,0.9886886210165525,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,55,0.9985022297434129,0.9979459582444005,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,56,0.9994071008265626,0.9887794898372263,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,57,0.99963261910252,0.9945297674796558,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
