task,controller,step,value_depth,stage_discount,terminal_weight,control_stage_weight,audit_stride,candidate_count,beam_width,residual_threshold,terminal_outside_residual,tail_phi,phi,current_value,best_fixed_successor_value,best_fixed_depth_margin,best_fallback_norm,best_fallback_amp,best_fallback_index,scheduled_stage_margin
Z,terminal_value_shifted,13,1,1.0,1.0,0.0,1,41,6,0.001,1,0.0039054753790150262,0.0039054753790150262,0.007246334663196853,0.008198302530066148,-0.0009519678668692957,0.0,0.0,0,0.002905475379015026
Z,terminal_value_shifted,14,1,1.0,1.0,0.0,1,41,6,0.001,1,0.004358041021505034,0.004358041021505034,0.008193090149553446,0.009251113672175452,-0.0010580235226220064,0.25,0.5,1,0.003358041021505034
Z,terminal_value_shifted,15,1,1.0,1.0,0.0,1,41,6,0.001,1,0.00464955533587471,0.00464955533587471,0.00886486973163228,0.01003608267848373,-0.0011712129468514493,0.0,0.0,0,0.0036495553358747096
Z,terminal_value_shifted,16,1,1.0,1.0,0.0,1,41,6,0.001,1,0.005174867090535502,0.005174867090535502,0.009964432473561276,0.011250811144887227,-0.001286378671325951,0.0,0.0,0,0.004174867090535502
Z,terminal_value_shifted,17,1,1.0,1.0,0.0,1,41,6,0.001,1,0.005549474984969514,0.005549474984969514,0.010642257476288865,0.011731186750753873,-0.0010889292744650086,0.0,0.0,0,0.004549474984969514
Z,terminal_value_shifted,18,1,1.0,1.0,0.0,1,41,6,0.001,1,0.006092782491319559,0.006092782491319559,0.011731186750753846,0.012920769667552096,-0.00118958291679825,0.0,0.0,0,0.005092782491319559
Z,terminal_value_shifted,19,1,1.0,1.0,0.0,1,41,6,0.001,1,0.0056280676035384836,0.0056280676035384836,0.01068800309388257,0.011430916921586834,-0.0007429138277042641,0.0,0.0,0,0.0046280676035384835
Z,terminal_value_shifted,20,1,1.0,1.0,0.0,1,41,6,0.001,1,0.004887326328544411,0.004887326328544411,0.008983937843755181,0.009451221050011352,-0.00046728320625617076,0.9999999999999998,0.9999999999999999,16,0.0038873263285444113
Z,terminal_value_shifted,21,1,1.0,1.0,0.0,1,41,6,0.001,1,0.005096611515210944,0.005096611515210944,0.00945122105001138,0.010001013875006709,-0.0005497928249953293,0.0,0.0,0,0.004096611515210944
Z,terminal_value_shifted,22,1,1.0,1.0,0.0,1,41,6,0.001,1,0.004701739725409604,0.004701739725409604,0.008606390248843979,0.009025339243987164,-0.00041894899514318545,0.0,0.0,0,0.003701739725409604
Z,terminal_value_shifted,23,1,1.0,1.0,0.0,1,41,6,0.001,1,0.0048337679649592055,0.0048337679649592055,0.008932859095437666,0.009499573172678355,-0.000566714077240689,0.0,0.0,0,0.0038337679649592055
Z,terminal_value_shifted,24,1,1.0,1.0,0.0,1,41,6,0.001,1,0.004855861042766446,0.004855861042766446,0.008964860347754268,0.009430693337221935,-0.0004658329894676669,4.0,2.0,20,0.003855861042766446
Z,terminal_value_shifted,25,1,1.0,1.0,0.0,1,41,6,0.001,1,0.004461423725304309,0.004461423725304309,0.008164587812625274,0.008764327742190887,-0.0005997399295656139,1.0,1.0,12,0.0034614237253043087
Z,terminal_value_shifted,26,1,1.0,1.0,0.0,1,41,6,0.001,1,0.00467001573059516,0.00467001573059516,0.008697494300472938,0.009504036958639495,-0.0008065426581665563,0.0,0.0,0,0.0036700157305951603
Z,terminal_value_shifted,27,1,1.0,1.0,0.0,1,41,6,0.001,1,0.004944390116351886,0.004944390116351886,0.009321608514338352,0.010280981579389635,-0.0009593730650512833,0.0,0.0,0,0.003944390116351886
