task,method,net_index,coeff_x,coeff_y,coeff_z,coeff_norm,ball_radius,points_per_axis,grid_spacing,covering_radius,final_fidelity,final_infidelity,grad_x,grad_y,grad_z,gradient_norm,pulse_energy,design_seconds,time_horizon,score_mode,worst_weight,train_net_points,base_train_points,hard_points_requested,hard_points_used,design_points_per_axis,certificate_points_per_axis
Z,selected_hard_augmented_mean_worst,2879,-0.04666666666667,0.04666666666667,0.01333333333333,0.06733003292241782,0.08,25,0.006666666666666668,0.005773502691896259,0.9984914190360112,0.0015085809639887593,0.0025214965780790827,0.034059001673028555,-0.0014342425075663523,0.03418231401656618,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2880,-0.04666666666667,0.04666666666667,0.02,0.06896053621859519,0.08,25,0.006666666666666668,0.005773502691896259,0.998488394775562,0.0015116052244380507,0.0028325466919499054,0.033384874066010234,0.0023282398740662735,0.03358561951306885,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2881,-0.04666666666667,0.04666666666667,0.02666666666667,0.07118052168021437,0.08,25,0.006666666666666668,0.005773502691896259,0.9984605629118588,0.0015394370881411934,0.0031317933093554656,0.03270423828496047,0.006006547822746455,0.03339841235566352,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2882,-0.04666666666667,0.04666666666667,0.03333333333333,0.07393691004273216,0.08,25,0.006666666666666668,0.005773502691896259,0.9984085140983745,0.0015914859016255,0.0034198054764857655,0.03201251896662474,0.009591884929569583,0.03359316443247964,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2883,-0.04666666666667,0.04666666666667,0.04,0.07717224601860553,0.08,25,0.006666666666666668,0.005773502691896259,0.9983328965356664,0.0016671034643336302,0.0036970698964241405,0.03130545056864259,0.013075795495092024,0.034127349574120745,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2884,-0.04666666666667,0.05333333333333,-0.03333333333333,0.07831560082980317,0.08,25,0.006666666666666668,0.005773502691896259,0.9975016444546888,0.0024983555453111927,0.0009589783485352832,0.04479911997077335,-0.030201177249286892,0.05403694936681333,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2885,-0.04666666666667,0.05333333333333,-0.02666666666667,0.07571877794400453,0.08,25,0.006666666666666668,0.005773502691896259,0.9976892092546275,0.0023107907453725485,0.0013136714041412922,0.04392000195252732,-0.026071861630586335,0.051092409151971906,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2886,-0.04666666666667,0.05333333333333,-0.02,0.07363574011458143,0.08,25,0.006666666666666668,0.005773502691896259,0.9978493269384359,0.0021506730615641345,0.001654829975635208,0.0430746212037415,-0.02196850175884868,0.04838157214914182,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2887,-0.04666666666667,0.05333333333333,-0.01333333333333,0.07211102550927886,0.08,25,0.006666666666666668,0.005773502691896259,0.9979821999691971,0.0020178000308028743,0.0019833500404162208,0.04225635803833869,-0.017899958360680868,0.04593410477369945,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2888,-0.04666666666667,0.05333333333333,-0.00666666666667,0.07118052168020875,0.08,25,0.006666666666666668,0.005773502691896259,0.998088090468007,0.0019119095319930501,0.002300071613830515,0.041458870424161326,-0.013875256175005013,0.04377957286450111,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
