task,baseline,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,basis_count,segments,refreshes,frequency_seed_path,training_objective,optimizer_success_all,optimization_seconds
H,dcrab,0.05,15,0.9998326938575451,0.00016730614245485942,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,16,0.9994013149191243,0.0005986850808756827,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,17,0.9999686811514529,3.1318848547123856e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,18,0.9999942842319223,5.715768077729777e-06,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,19,0.9994582813264723,0.0005417186735277024,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,20,0.999486614548098,0.0005133854519020487,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,21,0.999980106600963,1.989339903696319e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,22,0.9996995331872872,0.0003004668127127852,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,23,0.9999908472482091,9.152751790919567e-06,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,24,0.9999663055022832,3.369449771684074e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,25,0.9999861656626703,1.3834337329710067e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,26,0.9999766494290113,2.335057098867832e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,27,0.9999201241108118,7.987588918823008e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,28,0.9991712771344412,0.0008287228655587953,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,29,0.9992061828742138,0.0007938171257861892,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,30,0.9999532225444785,4.677745552150725e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,31,0.9994399318282751,0.0005600681717249367,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,32,0.9999921260476201,7.873952379888749e-06,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,33,0.9999720680803172,2.7931919682755435e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,34,0.9999551961149673,4.4803885032695945e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,35,0.9992940304527841,0.0007059695472159122,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,36,0.9994519871614236,0.0005480128385764171,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,37,0.9999862129804411,1.3787019558897384e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,38,0.9999828726237117,1.712737628833949e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,39,0.9997079492687732,0.000292050731226845,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,40,0.9997501624646516,0.00024983753534835174,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,41,0.9991165601947921,0.0008834398052078862,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,42,0.9999931266071194,6.873392880635265e-06,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,43,0.999977782771497,2.2217228503040864e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,44,0.9999778409986224,2.2159001377586307e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,45,0.9999555424158604,4.445758413962331e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,46,0.9996496550700835,0.0003503449299164796,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,47,0.9997630980436142,0.00023690195638581546,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,48,0.9996580116403392,0.0003419883596608164,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,49,0.9999654669253416,3.4533074658393836e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,50,0.9999537787748474,4.622122515263172e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,51,0.9999153479387497,8.4652061250301e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,52,0.9990804892397317,0.000919510760268305,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,53,0.9999887359878261,1.1264012173883842e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,54,0.9997457318075869,0.0002542681924131429,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,55,0.9999820373877835,1.796261221653772e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,56,0.9996145905891289,0.0003854094108710626,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,57,0.9997365601171402,0.00026343988285981723,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,58,0.9998064777383571,0.00019352226164293107,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.05,59,0.9993841067760432,0.0006158932239568315,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,10,0.9996628032600885,0.000337196739911505,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,11,0.9995880983227335,0.00041190167726645743,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,12,0.9996317920524912,0.0003682079475088029,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,13,0.9999625554589915,3.7444541008513355e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,14,0.9999980929475949,1.907052405103471e-06,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,15,0.9999775217808303,2.247821916967485e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,16,0.9991981194685956,0.0008018805314043975,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,17,0.9993250130006107,0.0006749869993892821,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,18,0.9995305857388624,0.00046941426113755735,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,19,0.9992979711887544,0.0007020288112455919,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,20,0.9993149273524728,0.0006850726475271518,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,21,0.9994681404409109,0.0005318595590890762,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,22,0.9997432425918735,0.0002567574081264734,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,23,0.9996113116473019,0.00038868835269811886,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,24,0.9993054678119779,0.0006945321880220678,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,25,0.9996706192364815,0.0003293807635185164,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,26,0.999685482760988,0.000314517239011991,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,27,0.9999885323905553,1.1467609444704152e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,28,0.9986217530949117,0.001378246905088254,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,29,0.9986388138052029,0.0013611861947970816,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,30,0.9990785717547631,0.0009214282452368883,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,31,0.9993359419118134,0.0006640580881865921,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,32,0.9995032907603687,0.0004967092396312989,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,33,0.9999622011524976,3.7798847502434896e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,34,0.9999159835767544,8.40164232456253e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,35,0.9989831549380582,0.0010168450619417735,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,36,0.9993622318067017,0.0006377681932983048,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,37,0.9999208006381692,7.919936183076182e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,38,0.9999834626056536,1.6537394346372025e-05,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,39,0.9997698585277791,0.00023014147222089054,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,40,0.999858421442809,0.0001415785571909911,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,41,0.9985117225596113,0.0014882774403887078,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,42,0.9997982415504789,0.00020175844952108335,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,43,0.9992083070755603,0.000791692924439702,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,44,0.99999346896538,6.5310346200053715e-06,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
H,dcrab,0.08,45,0.9998073776762817,0.00019262232371830557,5.140156985906014,3,40,3,"31,43,59",0.0010323398135331364,False,48.13288228586316
