system,task,disorder_strength,seed,tail_infidelity_mean,tail_stability_range,final_fidelity,pulse_energy,shifted_available_steps,shifted_selected_steps,shifted_selected_fraction
terminal_value_shifted_Z,Z,0.05,26,0.0017151167694548946,0.0029425527516924177,0.9963627828751296,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,27,0.00125861972168485,0.001608054828648564,0.9992095221989419,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,28,0.0016016599657934227,0.0014605347376358546,0.9991326122045477,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,29,0.0016690243750275041,0.0018148484873072857,0.9991462154796831,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,30,0.0010707612489303942,0.001600213244396187,0.9991043596274052,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,31,0.0015457995620084622,0.0018251298582201425,0.9991510528108112,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,32,0.0011522861455278276,0.001697399735502092,0.998914947551661,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,33,0.0021221022332990162,0.0030887062048408076,0.9967810670986138,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,34,0.0020415829667755903,0.00316970452693055,0.9973531819113757,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,35,0.0015648765380469173,0.001837512336181235,0.9991630340793736,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,36,0.0013967495404236332,0.0009794282797919163,0.9987607727050001,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,37,0.0010144018437110594,0.0010892354411110583,0.9989327088992187,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,38,0.0011194874694579128,0.0009736775503970119,0.999081717096323,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,39,0.00152482716170869,0.0018188738697380025,0.9987679183240551,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,40,0.001321682399678453,0.001389231945428282,0.997844827003304,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,41,0.0016246950259041215,0.0014503176397088202,0.9991372047416711,4.705,99,13,0.13131313131313133
