system,controller,disorder_strength,seed,tail_infidelity_mean,tail_infidelity_std,tail_stability_range,final_fidelity,response_time,control_energy
qubit_H,disorder_dressed,0.0,1,0.501387022354536,0.18382954741956842,0.5668771108560757,0.6681734640359964,nan,122.54461787555049
qubit_H,disorder_dressed,0.0,2,0.501387022354536,0.18382954741956842,0.5668771108560757,0.6681734640359964,nan,122.54461787555049
qubit_H,disorder_dressed,0.0,3,0.501387022354536,0.18382954741956842,0.5668771108560757,0.6681734640359964,nan,122.54461787555049
qubit_H,disorder_dressed,0.0,4,0.501387022354536,0.18382954741956842,0.5668771108560757,0.6681734640359964,nan,122.54461787555049
qubit_H,disorder_dressed,0.0,5,0.501387022354536,0.18382954741956842,0.5668771108560757,0.6681734640359964,nan,122.54461787555049
qubit_H,disorder_dressed,0.02,0,0.5003879167950745,0.16528330813703054,0.4953807708835336,0.3279193117445472,nan,125.63241753066582
qubit_H,disorder_dressed,0.02,1,0.4999458120268596,0.17348516110272397,0.5710809045498071,0.6076951457672335,nan,123.91559356454522
qubit_H,disorder_dressed,0.02,2,0.5049947269695743,0.18421070705892004,0.6325641043045273,0.7933205143632229,nan,123.35617240770407
qubit_H,disorder_dressed,0.02,3,0.49951181740246564,0.16733436266963142,0.5036414879698793,0.4590193083246159,nan,125.0552329953808
qubit_H,disorder_dressed,0.02,4,0.4980840829431612,0.19471797594789084,0.7644487801488353,0.5690990173195378,nan,124.98199282492759
qubit_H,disorder_dressed,0.02,5,0.5017322166132147,0.180502018816632,0.6419649684993083,0.6641486386291562,nan,124.18039888666522
qubit_H,disorder_dressed,0.05,0,0.5008107780230776,0.15950090445444323,0.44589282802670793,0.2812672819846257,nan,129.56723378689483
qubit_H,disorder_dressed,0.05,1,0.5005783028760302,0.17132941513351824,0.5139039457271792,0.2647183948721091,nan,124.8186255094514
qubit_H,disorder_dressed,0.05,2,0.5001794103000619,0.15864583391192655,0.4596372648158715,0.6573860136478311,nan,123.45625421764063
qubit_H,disorder_dressed,0.05,3,0.4971051561614744,0.17037755440954344,0.531549755789926,0.7358718534907742,nan,125.20495457850129
qubit_H,disorder_dressed,0.05,4,0.5006992840693906,0.17641250806828615,0.569572256110538,0.31239988119214795,nan,130.5345601125207
qubit_H,disorder_dressed,0.05,5,0.499301058690141,0.16780511897348852,0.5278625463569482,0.25373311868786824,nan,123.83313276992436
five_level_X,nominal,0.0,0,0.37843493605492645,0.010311930429807428,0.03662784876390335,0.6405371631216261,nan,1.2961695027386728
five_level_X,nominal,0.0,1,0.37843493605492645,0.010311930429807428,0.03662784876390335,0.6405371631216261,nan,1.2961695027386728
five_level_X,nominal,0.0,2,0.37843493605492645,0.010311930429807428,0.03662784876390335,0.6405371631216261,nan,1.2961695027386728
five_level_X,nominal,0.0,3,0.37843493605492645,0.010311930429807428,0.03662784876390335,0.6405371631216261,nan,1.2961695027386728
five_level_X,nominal,0.0,4,0.37843493605492645,0.010311930429807428,0.03662784876390335,0.6405371631216261,nan,1.2961695027386728
five_level_X,nominal,0.0,5,0.37843493605492645,0.010311930429807428,0.03662784876390335,0.6405371631216261,nan,1.2961695027386728
five_level_X,nominal,0.02,0,0.36382038653963933,0.010595441169338993,0.04123991478676914,0.6559573256284363,nan,1.2572902856564558
five_level_X,nominal,0.02,1,0.37981944698579734,0.010138109473598195,0.03841129074073424,0.6379113872455889,nan,1.2492307912786533
five_level_X,nominal,0.02,2,0.3897598098890427,0.009762758993724339,0.03691894051675382,0.6309471484762044,nan,1.4074373118470502
five_level_X,nominal,0.02,3,0.38986421704519436,0.010846484858915062,0.03776951480547952,0.6238659078494883,nan,1.3028988026730701
five_level_X,nominal,0.02,4,0.35553439935438264,0.011116908041259175,0.03600651250819409,0.6618643098449546,nan,1.2857824390848138
five_level_X,nominal,0.02,5,0.3692226622676132,0.011157380903992943,0.038569897675098774,0.6497402654460519,nan,1.314920767500999
five_level_X,nominal,0.05,0,0.3497659133427514,0.011781810117677316,0.05050205795369922,0.674670192583561,nan,1.2092186138548886
five_level_X,nominal,0.05,1,0.38601439685923217,0.01273996367875185,0.04908374854062514,0.6368031935897486,nan,1.212309615124066
five_level_X,nominal,0.05,2,0.42468126098107994,0.011391172569929019,0.04209218907846979,0.5824676527847008,nan,1.9197585209061896
five_level_X,nominal,0.05,3,0.4099536549180138,0.013924339117135694,0.05124936688098525,0.5934394569707772,nan,1.3392018937708774
five_level_X,nominal,0.05,4,0.3242795210720256,0.013426706355640056,0.04577952901400928,0.6960023182107707,nan,1.2770266630343783
five_level_X,nominal,0.05,5,0.356765118077477,0.012665358453663574,0.04404153308004766,0.6627981491719478,nan,1.3440868703694406
five_level_X,disorder_dressed,0.0,0,0.44298473022447676,0.011532476963868079,0.04213372421870809,0.5785703837271784,nan,3.4213006883155117
five_level_X,disorder_dressed,0.0,1,0.44298473022447676,0.011532476963868079,0.04213372421870809,0.5785703837271784,nan,3.4213006883155117
five_level_X,disorder_dressed,0.0,2,0.44298473022447676,0.011532476963868079,0.04213372421870809,0.5785703837271784,nan,3.4213006883155117
five_level_X,disorder_dressed,0.0,3,0.44298473022447676,0.011532476963868079,0.04213372421870809,0.5785703837271784,nan,3.4213006883155117
five_level_X,disorder_dressed,0.0,4,0.44298473022447676,0.011532476963868079,0.04213372421870809,0.5785703837271784,nan,3.4213006883155117
five_level_X,disorder_dressed,0.0,5,0.44298473022447676,0.011532476963868079,0.04213372421870809,0.5785703837271784,nan,3.4213006883155117
five_level_X,disorder_dressed,0.02,0,0.41938225640307414,0.013947031497352392,0.05455256362477667,0.6090912853030049,nan,5.01662032091418
five_level_X,disorder_dressed,0.02,1,0.4416328434404551,0.010517591977544937,0.038999888304127595,0.5768267139021532,nan,3.482489029569834
five_level_X,disorder_dressed,0.02,2,0.4477752771532648,0.012540947968717709,0.04398780275188885,0.5741841170105398,nan,3.641678498365963
five_level_X,disorder_dressed,0.02,3,0.455867517974834,0.011267628344698227,0.0408243351617571,0.5633182212436105,nan,2.9058481322564793
five_level_X,disorder_dressed,0.02,4,0.41117428772058306,0.014629622000527344,0.04866097990071483,0.6121212289164063,nan,4.473660419608877
five_level_X,disorder_dressed,0.02,5,0.43176222758795,0.013251630490070306,0.047384744449712746,0.5908951280359453,nan,3.4195472455956253
five_level_X,disorder_dressed,0.05,0,0.3934806004237201,0.016997518450988063,0.0679247912258818,0.6407141800520174,nan,7.355299293531329
five_level_X,disorder_dressed,0.05,1,0.43379821470327096,0.01228922895632888,0.05169010746247127,0.5889185774024032,nan,4.354828639637318
five_level_X,disorder_dressed,0.05,2,0.5154301907495182,0.01164917480000513,0.04362008874361856,0.4942107250517824,nan,3.6032481864248638
five_level_X,disorder_dressed,0.05,3,0.47713366192608253,0.012573727784874615,0.04618116452498233,0.5286739768465806,nan,2.2833172726115807
five_level_X,disorder_dressed,0.05,4,0.36810986992803485,0.016964348912955948,0.0598978999187616,0.6550158423071654,nan,5.7779848223205255
five_level_X,disorder_dressed,0.05,5,0.4156204851389911,0.014187407953590808,0.05129218269731106,0.6060158486490016,nan,3.3678083003855854
