task,controller,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,horizon_steps,reference_objective,reference_restart_seed,reference_iterations,reference_success,reference_seconds,horizon_objective,horizon_iterations,horizon_success,horizon_seconds
Z,adjoint_process_horizon,0.08,55,0.9981935668617017,0.9974122947673084,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,56,0.9991454715270593,0.9886581965473801,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,57,0.9993852465048821,0.9943292453067948,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,58,0.9997403374390161,0.9937182864867751,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
Z,adjoint_process_horizon,0.08,59,0.9980410757423136,0.9919190343169437,1.4013544124488062,60,4,0.006992642949236226,22,13,True,39.992653488065116,0.050144993103153186,474,False,13.53080961597152
H,process_grape_reference,0.08,10,0.999552749910298,0.9996778574615174,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,11,0.9999612923298735,0.9999432869592644,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,12,0.9999381467211579,0.9999097362274179,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,13,0.9998609880439728,0.9998850373908673,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,14,0.9996991978812504,0.9997632261772594,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,15,0.999630612498329,0.9995442690026254,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,16,0.9998197911741248,0.9997002019436411,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,17,0.9998629736709328,0.9998029491730774,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,18,0.999795646245988,0.9998075319344865,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,19,0.9997659606066576,0.9996245445770627,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,20,0.9999128245631014,0.9998558557281161,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,21,0.9998951356251531,0.9999282874446905,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,22,0.9995531546167851,0.9996929056337015,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,23,0.9998435786070994,0.9997602814172408,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,24,0.9998684078727043,0.9998273282022874,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,25,0.9997518757893088,0.9997614392936097,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,26,0.9997490762828655,0.9997223181084417,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,27,0.9999168368048774,0.9998299159968024,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,28,0.9994985284056495,0.9994340794265067,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,29,0.9994676713195341,0.9995136956795617,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,30,0.999910832132389,0.9998582262568511,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,31,0.9997915040221058,0.999663624658389,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,32,0.9999397272227725,0.9998914838898189,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,33,0.9999130452568535,0.999894266713667,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,34,0.9999732283504226,0.9999821332782236,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,35,0.9996882089526107,0.9994871418139765,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,36,0.9995529804681521,0.9995545592357112,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,37,0.9997283147334829,0.9997558804543537,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,38,0.9997472159416947,0.9996288521843152,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,39,0.9999512141717961,0.9999354790135834,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,40,0.9996815790656148,0.999756389803751,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,41,0.9994964300226885,0.9993253579922484,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
