system,disorder_strength,seed,tail_infidelity_mean,tail_stability_range,final_fidelity,pulse_energy,task,config,horizon_steps,beam_width,segments,n_train_strengths,n_train_seeds
horizon_lyapunov_Z,0.08,15,0.0026465935761897296,0.004353802179139277,0.9943516027255345,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,16,0.0036380889958445863,0.006015496815403032,0.9925764274338451,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,17,0.0020428443424132074,0.0020770065814769145,0.9969074795654064,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,18,0.002519874543116402,0.0030340967277573405,0.9971637449712742,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,19,0.0036838143594398374,0.007268747098580164,0.9917004307457895,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,20,0.004387175906697286,0.008074979396314741,0.9907101622163865,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,21,0.002871675556177638,0.004342781074683999,0.998801478484157,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,22,0.005260465451889576,0.010943761980571343,0.9886158229410056,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,23,0.0030188599013016796,0.0046267913685038575,0.9946296349697805,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,24,0.0018185866617951138,0.00228697212949569,0.9978258474404341,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,25,0.002274786745688204,0.0018582055394495978,0.997041229643417,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,26,0.002633705601415002,0.0032643346611240798,0.9952476389218164,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,27,0.005260369095990565,0.00941611415375987,0.9907554236432057,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,28,0.00390978569979764,0.006108830390401443,0.9933298915446998,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,29,0.004609711238684351,0.007409565828394249,0.992880804508625,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,30,0.0020066015454539565,0.002403808966161658,0.9972823730811122,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,31,0.003326877892344141,0.00498724696436792,0.9935380279212545,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,32,0.0034769163177030774,0.005650739492905732,0.9931851591969837,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,33,0.003833823021771308,0.0038597507912927487,0.998070297678754,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,34,0.003432016310091924,0.003271891405462468,0.9982133141231851,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,35,0.0030698943275974376,0.0051908500737862795,0.9935180745670018,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,36,0.004096670204737098,0.007429750643017208,0.9918244215489949,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,37,0.002569415708294128,0.0039364857681694065,0.9951065552257368,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,38,0.0038304440899834167,0.006144272487841551,0.9941757929558054,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,39,0.004655833199622319,0.00933064656275373,0.9895589312879411,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,40,0.004826398970931284,0.0104218283308124,0.9889394498706081,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,41,0.003310556791114149,0.0048176483400556025,0.9940930298320726,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,42,0.0032350754233570348,0.0035675593197880273,0.9983083497107249,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,43,0.0025823004622140557,0.003900967091697294,0.9983512993950231,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,44,0.0039466583899532125,0.006273563220657308,0.994153862858431,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,45,0.0029130053623413767,0.00441797493477647,0.9938457170209303,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,46,0.003240845345404327,0.0035474140746860616,0.9953870095340327,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,47,0.005360732181108695,0.008023510850294402,0.9935649210497101,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,48,0.003513592693180745,0.0063550300077074295,0.9926222780469551,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,49,0.004073524204868522,0.007814933711593475,0.9911186973126669,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,50,0.0042062896295749375,0.004487381496948606,0.9975421656862773,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,51,0.003085114309567171,0.0052701440557358925,0.9930656298331666,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,52,0.003494072840332387,0.0051906860802724,0.9941198232627316,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,53,0.0032111426295387204,0.00399829065932078,0.9987661275859003,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,54,0.00247493828797949,0.0019257329852369054,0.9964436742420641,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,55,0.0033405519333387724,0.005282633034793371,0.993349682332309,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,56,0.003368303175498749,0.00391588805271037,0.9945281313496607,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,57,0.005202678859719087,0.008021969915296578,0.9921154077655816,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,58,0.005191601408862704,0.007574790664186981,0.9938372692380248,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,59,0.0038712619611136266,0.007028932440588442,0.9917011022219919,3.18,Z,q4_b4,4,4,100,2,8
horizon_lyapunov_Z,0.08,10,0.08144775881639181,0.04383460824125085,0.9435609471026574,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,11,0.03863873314198664,0.01053670222145131,0.9641777125928606,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,12,0.028383383270314238,0.009608507526568388,0.9747914604102907,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,13,0.01446361772304095,0.007600761251767896,0.979819670913223,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,14,0.09454474687875312,0.02391784359138094,0.9130263135368497,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,15,0.010004092836331625,0.0026289012024759417,0.9886470768980118,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,16,0.039509585112913845,0.023797124886939414,0.9529276845856318,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,17,0.019076635531720062,0.018413154255786268,0.97146356115545,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,18,0.019913591784370313,0.02306951818670211,0.9645761586668175,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,19,0.007426102537188657,0.006277487035918128,0.992965148012278,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,20,0.04246447456854943,0.01576025411205395,0.9559527068829974,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,21,0.07928359940175529,0.020177198360583293,0.9064759463974987,1.655,Z,q6_b1,6,1,100,2,8
horizon_lyapunov_Z,0.08,22,0.09120955592847209,0.04390572259965608,0.9348033920842828,1.655,Z,q6_b1,6,1,100,2,8
