task,baseline,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,basis_count,segments,frequency_seed,restart_seed,training_objective,optimizer_iterations,optimizer_success,optimization_seconds
Z,crab,0.05,43,0.9999675123174077,3.248768259234147e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,44,0.9999421447100347,5.785528996526956e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,45,0.9996768542066317,0.00032314579336834015,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,46,0.9996800377726496,0.00031996222735042323,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,47,0.9998502333805196,0.00014976661948040704,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,48,0.9997113195267042,0.00028868047329577706,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,49,0.9999825549596081,1.7445040391916855e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,50,0.999979384283024,2.0615716975980192e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,51,0.9996572982911959,0.0003427017088041273,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,52,0.9998776041477984,0.00012239585220163995,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,53,0.9999884332660522,1.1566733947754315e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,54,0.999867100321516,0.00013289967848395534,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,55,0.9999924224920598,7.577507940226269e-06,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,56,0.999966523724176,3.347627582395152e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,57,0.9999046115875132,9.538841248679653e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,58,0.9998653910884531,0.00013460891154692955,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.05,59,0.9998360376699703,0.00016396233002968774,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,10,0.9994798347663918,0.0005201652336082052,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,11,0.9996699092422391,0.0003300907577609147,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,12,0.9996427740063353,0.00035722599366472263,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,13,0.9999930488945206,6.951105479435782e-06,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,14,0.9999485357464073,5.146425359270346e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,15,0.9968670443461266,0.0031329556538733927,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,16,0.9999248687906845,7.513120931545991e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,17,0.9972118587514025,0.0027881412485974977,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,18,0.9984100352048114,0.001589964795188581,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,19,0.9994219839930524,0.0005780160069476237,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,20,0.9997067745676522,0.00029322543234777676,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,21,0.99973916391345,0.00026083608655003143,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,22,0.999643904081538,0.00035609591846197386,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,23,0.9976451606392034,0.0023548393607966123,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,24,0.9978063374479578,0.0021936625520422304,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,25,0.9990884491406643,0.0009115508593356969,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,26,0.997610109276729,0.0023898907232710043,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,27,0.999874665206705,0.00012533479329501773,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,28,0.999586724180239,0.00041327581976102756,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,29,0.9997694602120992,0.00023053978790077423,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,30,0.9972421291555862,0.0027578708444138123,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,31,0.9999089619419333,9.103805806665033e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,32,0.9983552535846916,0.001644746415308429,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,33,0.9999903955999376,9.604400062368512e-06,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,34,0.9997725748692283,0.0002274251307716746,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,35,0.9998937223292849,0.00010627767071513805,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
