task,controller,step,value_depth,audit_stride,candidate_count,beam_width,residual_threshold,terminal_outside_residual,tail_phi,phi,current_value,best_fixed_successor_value,best_fixed_depth_margin,best_fallback_norm,best_fallback_amp,best_fallback_index,scheduled_stage_margin
Z,terminal_value_shifted,70,1,10,41,6,0.001,1,0.0019948374770690364,0.0019948374770690364,0.0027777070967849463,0.0024350281197895738,0.00034267897699537253,0.0,0.0,0,0.0009948374770690363
Z,terminal_value_shifted,80,1,10,41,6,0.001,1,0.0024200467471505865,0.0024200467471505865,0.00418744787328012,0.004955849550088196,-0.0007684016768080768,0.0,0.0,0,0.0014200467471505865
Z,terminal_value_shifted,90,1,10,41,6,0.001,1,0.004397373380915691,0.004397373380915691,0.008293861185977962,0.009377760061146975,-0.0010838988751690135,0.0,0.0,0,0.003397373380915691
H,raw_shifted,10,1,10,41,8,0.001,1,0.0031299852094118785,0.0031299852094118785,0.005605200047782728,0.006335948290288247,-0.000730748242505519,0.9999999999999998,0.9999999999999999,14,0.0021299852094118785
H,raw_shifted,20,1,10,41,8,0.001,1,0.0024684146753591527,0.0024684146753591527,0.004189389529998721,0.004740445316938694,-0.0005510557869399732,0.9999999999999998,0.9999999999999999,13,0.0014684146753591526
H,raw_shifted,30,1,10,41,8,0.001,1,0.0028539415808631063,0.0028539415808631063,0.0048496894208381125,0.005233313124624322,-0.00038362370378620947,0.0,0.0,0,0.0018539415808631063
H,raw_shifted,40,1,10,41,8,0.001,0,0.0007163572882430413,0.0007163572882430413,0.0009093636286839832,0.001157663583960862,-0.00024829995527687887,0.0,0.0,0,0.0
H,raw_shifted,50,1,10,41,8,0.001,1,0.0022233100577139647,0.0022233100577139647,0.0036996110152867296,0.004281674265813115,-0.0005820632505263851,0.0,0.0,0,0.0012233100577139647
H,raw_shifted,60,1,10,41,8,0.001,1,0.0031674159010478264,0.0031674159010478264,0.005492253620201893,0.005869439748355882,-0.000377186128153989,0.0,0.0,0,0.0021674159010478264
H,raw_shifted,70,1,10,41,8,0.001,1,0.005323603634182057,0.005323603634182057,0.01027038752532429,0.011652762167456539,-0.0013823746421322489,0.0,0.0,0,0.004323603634182057
H,raw_shifted,80,1,10,41,8,0.001,1,0.0029938612704395323,0.0029938612704395323,0.004870202938451127,0.004709359616383518,0.00016084332206760948,0.0,0.0,0,0.0019938612704395323
H,raw_shifted,90,1,10,41,8,0.001,1,0.0035328819717818927,0.0035328819717818927,0.006483595857651168,0.007395627301814951,-0.0009120314441637828,0.0,0.0,0,0.0025328819717818927
H,terminal_value_shifted,10,1,10,41,8,0.001,1,0.0031299852094118785,0.0031299852094118785,0.005605200047782728,0.006335948290288247,-0.000730748242505519,0.9999999999999998,0.9999999999999999,14,0.0021299852094118785
H,terminal_value_shifted,20,1,10,41,8,0.001,1,0.0024796918965813083,0.0024796918965813083,0.004145426475813147,0.004575329692604165,-0.000429903216791018,3.999999999999999,1.9999999999999998,21,0.0014796918965813083
H,terminal_value_shifted,30,1,10,41,8,0.001,1,0.0028539415808631063,0.0028539415808631063,0.0048496894208381125,0.005233313124624322,-0.00038362370378620947,0.0,0.0,0,0.0018539415808631063
H,terminal_value_shifted,40,1,10,41,8,0.001,0,0.000817895835042777,0.000817895835042777,0.0008744007998032974,0.0010609201189872228,-0.0001865193191839254,0.24999999999999994,0.49999999999999994,5,0.0
