task,disorder_strength,seed,score_mode,train_points_per_axis,train_net_points,eval_points_per_axis,eval_net_points,final_fidelity,pulse_energy,shifted_selected_fraction,design_seconds
Z,0.08,18,mean_worst,7,335,13,2145,0.9952891578798178,3.63,0.24242424242424243,21.794971575029194
Z,0.08,19,mean_worst,7,335,13,2145,0.9936078472181549,3.63,0.24242424242424243,21.794971575029194
Z,0.08,20,mean_worst,7,335,13,2145,0.9880361625431715,3.63,0.24242424242424243,21.794971575029194
Z,0.08,21,mean_worst,7,335,13,2145,0.9957270105216738,3.63,0.24242424242424243,21.794971575029194
Z,0.08,22,mean_worst,7,335,13,2145,0.9978946655903234,3.63,0.24242424242424243,21.794971575029194
Z,0.08,23,mean_worst,7,335,13,2145,0.9965677331269299,3.63,0.24242424242424243,21.794971575029194
Z,0.08,24,mean_worst,7,335,13,2145,0.9930675581046662,3.63,0.24242424242424243,21.794971575029194
Z,0.08,25,mean_worst,7,335,13,2145,0.9908645368939673,3.63,0.24242424242424243,21.794971575029194
Z,0.08,26,mean_worst,7,335,13,2145,0.9968384174984894,3.63,0.24242424242424243,21.794971575029194
Z,0.08,27,mean_worst,7,335,13,2145,0.9935471240693582,3.63,0.24242424242424243,21.794971575029194
Z,0.08,28,mean_worst,7,335,13,2145,0.9981791265961807,3.63,0.24242424242424243,21.794971575029194
Z,0.08,29,mean_worst,7,335,13,2145,0.998684989215563,3.63,0.24242424242424243,21.794971575029194
Z,0.08,30,mean_worst,7,335,13,2145,0.9950300645658179,3.63,0.24242424242424243,21.794971575029194
Z,0.08,31,mean_worst,7,335,13,2145,0.9865882594471393,3.63,0.24242424242424243,21.794971575029194
Z,0.08,32,mean_worst,7,335,13,2145,0.9974319036980093,3.63,0.24242424242424243,21.794971575029194
Z,0.08,33,mean_worst,7,335,13,2145,0.9936466730500586,3.63,0.24242424242424243,21.794971575029194
Z,0.08,34,mean_worst,7,335,13,2145,0.9887544189427038,3.63,0.24242424242424243,21.794971575029194
Z,0.08,35,mean_worst,7,335,13,2145,0.9886787400871493,3.63,0.24242424242424243,21.794971575029194
Z,0.08,36,mean_worst,7,335,13,2145,0.9986609660542798,3.63,0.24242424242424243,21.794971575029194
Z,0.08,37,mean_worst,7,335,13,2145,0.990918102152879,3.63,0.24242424242424243,21.794971575029194
Z,0.08,38,mean_worst,7,335,13,2145,0.995987329672852,3.63,0.24242424242424243,21.794971575029194
Z,0.08,39,mean_worst,7,335,13,2145,0.9923691438816049,3.63,0.24242424242424243,21.794971575029194
Z,0.08,40,mean_worst,7,335,13,2145,0.9987480097090314,3.63,0.24242424242424243,21.794971575029194
Z,0.08,41,mean_worst,7,335,13,2145,0.9969030109851319,3.63,0.24242424242424243,21.794971575029194
Z,0.08,42,mean_worst,7,335,13,2145,0.9948177694622189,3.63,0.24242424242424243,21.794971575029194
Z,0.08,43,mean_worst,7,335,13,2145,0.9968478682617192,3.63,0.24242424242424243,21.794971575029194
Z,0.08,44,mean_worst,7,335,13,2145,0.9958759312644354,3.63,0.24242424242424243,21.794971575029194
Z,0.08,45,mean_worst,7,335,13,2145,0.9978516435972976,3.63,0.24242424242424243,21.794971575029194
Z,0.08,46,mean_worst,7,335,13,2145,0.9987413071049062,3.63,0.24242424242424243,21.794971575029194
Z,0.08,47,mean_worst,7,335,13,2145,0.9935659259663553,3.63,0.24242424242424243,21.794971575029194
Z,0.08,48,mean_worst,7,335,13,2145,0.9965857370669032,3.63,0.24242424242424243,21.794971575029194
Z,0.08,49,mean_worst,7,335,13,2145,0.9971531889626771,3.63,0.24242424242424243,21.794971575029194
Z,0.08,50,mean_worst,7,335,13,2145,0.9928188862455578,3.63,0.24242424242424243,21.794971575029194
Z,0.08,51,mean_worst,7,335,13,2145,0.9981637065036013,3.63,0.24242424242424243,21.794971575029194
Z,0.08,52,mean_worst,7,335,13,2145,0.997401855431384,3.63,0.24242424242424243,21.794971575029194
Z,0.08,53,mean_worst,7,335,13,2145,0.9922439282615321,3.63,0.24242424242424243,21.794971575029194
Z,0.08,54,mean_worst,7,335,13,2145,0.9877320724418444,3.63,0.24242424242424243,21.794971575029194
Z,0.08,55,mean_worst,7,335,13,2145,0.997995058316169,3.63,0.24242424242424243,21.794971575029194
Z,0.08,56,mean_worst,7,335,13,2145,0.9853942475028836,3.63,0.24242424242424243,21.794971575029194
Z,0.08,57,mean_worst,7,335,13,2145,0.9865195507926786,3.63,0.24242424242424243,21.794971575029194
Z,0.08,58,mean_worst,7,335,13,2145,0.9929699826769723,3.63,0.24242424242424243,21.794971575029194
Z,0.08,59,mean_worst,7,335,13,2145,0.9880138496439526,3.63,0.24242424242424243,21.794971575029194
H,0.0,10,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,11,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,12,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,13,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,14,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,15,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,16,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,17,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,18,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,19,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,20,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,21,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,22,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,23,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,24,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,25,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,26,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,27,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,28,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,29,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,30,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,31,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,32,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,33,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,34,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,35,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,36,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,37,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,38,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,39,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,40,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,41,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,42,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,43,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,44,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,45,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,46,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,47,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
