task,method,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,design_seconds,resource_profile,training_strengths
Z,beam_horizon,0.08,1049,0.994017561487486,0.00598243851251401,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1050,0.9987144836788288,0.0012855163211712428,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1051,0.9972021099152659,0.002797890084734078,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1052,0.9948157389696167,0.005184261030383275,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1053,0.9965594766259906,0.003440523374009352,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1054,0.9975257614020129,0.0024742385979871218,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1055,0.9964852572677987,0.0035147427322013147,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1056,0.9966991192422142,0.0033008807577857846,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1057,0.9952754171848657,0.004724582815134326,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1058,0.9987645965539955,0.0012354034460044794,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1059,0.9976057668675617,0.0023942331324382504,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1060,0.9972809536037793,0.00271904639622067,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1061,0.9984527939905943,0.0015472060094057216,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1062,0.996768572930257,0.003231427069742998,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1063,0.997460507383436,0.002539492616564054,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1064,0.9958674880907435,0.004132511909256453,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1065,0.9962651222210317,0.003734877778968304,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1066,0.9985059546573006,0.0014940453426993683,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1067,0.9977543656899084,0.0022456343100916154,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1068,0.9990109279766104,0.0009890720233896033,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1069,0.9985979401749794,0.0014020598250206184,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1070,0.9973239558845766,0.002676044115423437,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1071,0.9983595521381583,0.0016404478618416984,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1072,0.9959600757108945,0.00403992428910549,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1073,0.9981245639397799,0.0018754360602201148,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1074,0.9974370532474491,0.0025629467525508653,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1075,0.9943215227514481,0.005678477248551861,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1076,0.9978216665718332,0.0021783334281667566,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1077,0.9972364685504884,0.0027635314495115804,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1078,0.9982789568296497,0.001721043170350267,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1079,0.998127996592711,0.0018720034072889913,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1080,0.9953325337304777,0.004667466269522302,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1081,0.9984956292379962,0.001504370762003826,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1082,0.9975784152570064,0.0024215847429935877,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1083,0.9970962742062202,0.0029037257937798433,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1084,0.9983916500830878,0.0016083499169121662,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1085,0.9984975107412456,0.0015024892587544025,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1086,0.9974998335657818,0.002500166434218243,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1087,0.9990806454049379,0.000919354595062094,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1088,0.998427143094573,0.001572856905426967,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1089,0.998119807105467,0.001880192894533006,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1090,0.9961170915776234,0.0038829084223765964,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1091,0.9990512752335512,0.0009487247664488052,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1092,0.9970736987826808,0.0029263012173191827,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1093,0.9985064751930492,0.0014935248069507523,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1094,0.9967371939961948,0.003262806003805241,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1095,0.998747793992569,0.0012522060074310337,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1096,0.9986092899345844,0.001390710065415579,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1097,0.9985917083728001,0.001408291627199909,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1098,0.9973038818816417,0.0026961181183583482,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1099,0.9986601600039106,0.0013398399960894425,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1100,0.9983365058845287,0.0016634941154712868,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1101,0.9956837882091785,0.004316211790821534,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1102,0.997407406985352,0.0025925930146479814,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1103,0.9976911941111765,0.0023088058888235397,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1104,0.9987293545626305,0.0012706454373695442,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1105,0.9980867636914978,0.001913236308502153,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1106,0.9978607881018324,0.00213921189816757,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1107,0.998478526016199,0.0015214739838009805,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1108,0.9955585959557722,0.00444140404422777,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1109,0.9971309801508254,0.0028690198491746477,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
Z,beam_horizon,0.08,1110,0.9982049527631337,0.0017950472368662984,4.9225,99.03693557111546,100 seg.; 8 train seeds; train delta 0.05/0.08; q=6; finite beam,"0.05,0.08"
