task,step,method,previous_terminal_phi,shift_tail_phi,tail_phi_abs_error,best_margin,best_fallback_phi,best_fallback_norm,terminal_outside_residual,residual_threshold,gradient_norm,line_radius
Z,11,fine_adaptive_gradient_line,0.0033293719795650795,0.0033293719795650795,0.0,-0.0003033324456277811,0.0036327044251928606,0.00010000000000000002,1,0.001,0.0007417176298748502,0.01
Z,12,default_alphabet,0.0035217982043523957,0.0035217982043523957,0.0,-0.000381463008088008,0.0039032612124404037,0.0,1,0.001,nan,nan
Z,12,fine_adaptive_gradient_line,0.0035217982043523957,0.0035217982043523957,0.0,-0.0003605664275704232,0.003882364631922819,0.0004,1,0.001,0.0012038658157107075,0.02
Z,13,default_alphabet,0.0038950659673245847,0.0038950659673245847,0.0,-0.0004629750541804492,0.004358041021505034,0.0,1,0.001,nan,nan
Z,13,fine_adaptive_gradient_line,0.0038950659673245847,0.0038950659673245847,0.0,-0.0004106302016722435,0.004305696168996828,0.0025,1,0.001,0.0014442453828923923,0.05
Z,14,default_alphabet,0.00435297100174592,0.00435297100174592,0.0,-0.0005170939544484748,0.004870064956194395,0.0,1,0.001,nan,nan
Z,14,fine_adaptive_gradient_line,0.00435297100174592,0.00435297100174592,0.0,-0.0005170939544484748,0.004870064956194395,0.0,1,0.001,0.0012949555530249847,0.0
Z,15,default_alphabet,0.00464955533587471,0.00464955533587471,0.0,-0.0005657590598830767,0.005215314395757786,0.0,1,0.001,nan,nan
Z,15,fine_adaptive_gradient_line,0.00464955533587471,0.00464955533587471,0.0,-0.000528954173839212,0.005178509509713922,0.00010000000000000002,1,0.001,0.0037598286884596888,0.01
Z,16,default_alphabet,0.005174867090535502,0.005174867090535502,0.0,-0.0006146982924905772,0.00578956538302608,0.0,1,0.001,nan,nan
Z,16,fine_adaptive_gradient_line,0.005174867090535502,0.005174867090535502,0.0,-0.0005852644966248127,0.005760131587160315,0.00010000000000000003,1,0.001,0.0030226514825405274,0.01
Z,17,default_alphabet,0.0055255909618900576,0.0055255909618900576,0.0,-0.0006217502141910719,0.0061473411760811295,0.0,1,0.001,nan,nan
Z,17,fine_adaptive_gradient_line,0.0055255909618900576,0.0055255909618900576,0.0,-0.0005746478842695024,0.00610023884615956,0.00039999999999999996,1,0.001,0.0031466917891723825,0.02
Z,18,default_alphabet,0.006092782491319559,0.006092782491319559,0.0,-0.0005456217681150122,0.006638404259434572,0.0,1,0.001,nan,nan
Z,18,fine_adaptive_gradient_line,0.006092782491319559,0.006092782491319559,0.0,-0.0005456217681150122,0.006638404259434572,0.0,1,0.001,0.0047636158166477725,0.0
Z,19,default_alphabet,0.0056280676035384836,0.0056280676035384836,0.0,-0.0004318678868058326,0.006059935490344316,0.0,1,0.001,nan,nan
Z,19,fine_adaptive_gradient_line,0.0056280676035384836,0.0056280676035384836,0.0,-0.00036936654692778376,0.005997434150466267,0.0008999999999999998,1,0.001,0.00319083767602036,0.03
