system,disorder_strength,seed,final_fidelity,final_infidelity,pulse_energy,training_objective
ensemble_H,0.05,11,0.99841399554994,0.0015860044500599635,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,12,0.9990017118551793,0.0009982881448207248,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,13,0.9997002217344975,0.00029977826550253717,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,14,0.9906271862106762,0.009372813789323753,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,15,0.9904880155049627,0.009511984495037318,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,16,0.9954407427446659,0.004559257255334126,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,17,0.9954224696533758,0.004577530346624226,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,18,0.9960524142602933,0.0039475857397066605,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,19,0.9980978752931603,0.001902124706839703,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,20,0.9972165546710378,0.002783445328962242,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,21,0.9880899968519358,0.01191000314806423,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,22,0.9832427336654581,0.016757266334541887,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,23,0.9972559196674511,0.002744080332548915,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,24,0.9930745262239508,0.00692547377604924,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,25,0.9898725022952951,0.01012749770470489,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,26,0.9944552819781611,0.005544718021838868,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,27,0.9972874770672082,0.0027125229327917832,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,28,0.9839911554468415,0.01600884455315854,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,29,0.9814567764099044,0.018543223590095637,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,30,0.9948119479009314,0.005188052099068585,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,31,0.9945150492222405,0.005484950777759456,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,32,0.9981977069073742,0.0018022930926258063,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,33,0.9972586720969424,0.0027413279030575888,0.4321289150718163,0.003093588434498328
ensemble_H,0.05,34,0.9945462605578251,0.005453739442174865,0.4321289150718163,0.003093588434498328
